attendance_area,aa_area_acres,overlap_area_acres,pct_aa_in_ctip1,pct_ctip1_in_aa
CARVER,732.2004573677141,732.2004573677139,99.99999999999997,12.436596558269484
MOSCONE,406.58597231570434,406.58086163641866,99.99874302616577,6.90587132745581
MALCOLM X,943.3730813831426,943.3534258807575,99.99791646563031,16.023079269463565
CHAVEZ,169.3732288260229,151.30857678800504,89.33441125068614,2.570011676970762
KING,790.2476033508232,652.0437002540393,82.51131638858897,11.075115232205066
BRYANT,191.29120427247707,113.97739546144766,59.58318674135018,1.935932803446052
PARKS,281.2144050486637,145.5934769756002,51.77312198868529,2.472939365772484
CHIN,568.4721351496182,273.6478745829259,48.13742972835486,4.6479733534318886
MUIR,291.1196082727249,122.17716893222249,41.96803151018436,2.075207879689298
TENDERLOIN,155.2734493437213,53.23313390850441,34.28347482038916,0.9041772690670774
VISITACION VALLEY,379.1369069533509,126.58560163946251,33.38783413534511,2.1500861435343177
HARTE,631.0337634057819,202.53059770816478,32.09504933857697,3.440029720080709
SANCHEZ,292.52627146439386,84.31847816197768,28.824241234770902,1.4321691344985652
SHERMAN,1102.621860551203,295.4409146109371,26.794400254611816,5.018133251420699
DREW,481.0543630845631,117.94745646792627,24.518529613085047,2.0033652211022677
REDDING,218.66289107593266,37.99720786298555,17.377071928400817,0.645391490510005
MILK,444.05818945489153,34.48940016105287,7.766865014558275,0.5858105536860084
WEBSTER,2063.5945830316664,100.21806467979914,4.8564803137138925,1.7022273418866303
NEW TRADITIONS,492.7982699879386,21.68282031102001,4.399938399043223,0.3682877902358132
ALVARADO,498.7828919710349,12.849061389313862,2.5760830205178777,0.21824432236196026
GUADALUPE,264.58765714507115,3.9870434976041413,1.5068894522990088,0.0677208692524382
COBB,539.2822157589884,1.3926239399622973,0.25823657804148276,0.023654044359604758
CLEVELAND,294.52324442518756,0.5159092804904376,0.17516759381668592,0.008762840172475398
TAYLOR,428.5641117661211,0.4283096844780675,0.09994063261923518,0.007274940481467531
FLYNN,386.5303959976914,0.0005849694210080838,0.0001513385304403273,9.935842862152818e-06
LAU,167.09609614433822,2.574384609573785e-05,1.5406611339082524e-05,4.372652659927036e-07
GARFIELD,267.297286825091,0.0,0.0,0.0
ORTEGA,229.8108266637645,0.0,0.0,0.0
SHERIDAN,199.5271837006644,0.0,0.0,0.0
SUNNYSIDE,427.7731558277837,0.0,0.0,0.0
YICK WO,359.5284750012824,0.0,0.0,0.0
LONGFELLOW,301.19897561979997,0.0,0.0,0.0
PEABODY,229.06599337673876,0.0,0.0,0.0
SUTRO,1238.1923192577447,0.0,0.0,0.0
PARKER,38.13319043443935,0.0,0.0,0.0
MONROE,370.2163536859009,0.0,0.0,0.0
MCCOPPIN,202.6652860474817,0.0,0.0,0.0
GLEN PARK,467.93176285753754,0.0,0.0,0.0
ARGONNE,342.9093500973732,0.0,0.0,0.0
CLARENDON,1004.2389145598612,0.0,0.0,0.0
LAFAYETTE,1082.6092424848146,0.0,0.0,0.0
EL DORADO,334.36320061898346,0.0,0.0,0.0
HILLCREST,507.61999774648604,0.0,0.0,0.0
SERRA,263.7311664426532,0.0,0.0,0.0
SLOAT,594.7378063004625,0.0,0.0,0.0
KEY,463.0736633975101,0.0,0.0,0.0
MCKINLEY,423.9580022476416,0.0,0.0,0.0
STEVENSON,855.3353297512244,0.0,0.0,0.0
SUNSET,313.15156320935375,0.0,0.0,0.0
WEST PORTAL,556.0324034328194,0.0,0.0,0.0
ULLOA,1591.7883220971896,0.0,0.0,0.0
LAKESHORE,819.1763729068746,0.0,0.0,0.0
JEFFERSON,443.45270310285645,0.0,0.0,0.0
FEINSTEIN,580.8434857216084,0.0,0.0,0.0
ALAMO,970.9973067379033,0.0,0.0,0.0
GRATTAN,774.6748414372969,0.0,0.0,0.0
MIRALOMA,777.23756590088,0.0,0.0,0.0
SPRING VALLEY,90.93160380625888,0.0,0.0,0.0
