academic_year,school_code,cohort,cohort_enrollment_count,cohort_absenteeism_count,cohort_dimension
2021-2022,3830361,female,0.0,0.0,gender
2021-2022,3830361,male,0.0,0.0,gender
2021-2022,3830361,9-12,110.0,10.0,grade
2021-2022,3830361,asian,0.0,0.0,race
2021-2022,3830361,black,0.0,0.0,race
2021-2022,3830361,not_reported,0.0,0.0,race
2021-2022,3830361,filipino,0.0,0.0,race
2021-2022,3830361,hispanic_latino,0.0,0.0,race
2021-2022,3830361,american_indian_alaska_native,0.0,0.0,race
2021-2022,3830361,pacific_islander,0.0,0.0,race
2021-2022,3830361,mixed,0.0,0.0,race
2021-2022,3830361,white,0.0,0.0,race
2021-2022,3830361,disabled,0.0,0.0,student
2021-2022,3830361,english_learner,0.0,0.0,student
2021-2022,3830361,foster,0.0,0.0,student
2021-2022,3830361,socioeconomically_disadvantaged,110.0,10.0,student
2021-2022,3830361,,110.0,10.0,total
2021-2022,3830395,female,770.0,580.0,gender
2021-2022,3830395,male,490.0,10.0,gender
2021-2022,3830395,7-8,0.0,0.0,grade
2021-2022,3830395,9-12,1240.0,570.0,grade
2021-2022,3830395,K-8,0.0,0.0,grade
2021-2022,3830395,asian,0.0,0.0,race
2021-2022,3830395,black,120.0,120.0,race
2021-2022,3830395,not_reported,0.0,0.0,race
2021-2022,3830395,filipino,0.0,0.0,race
2021-2022,3830395,hispanic_latino,1060.0,430.0,race
2021-2022,3830395,american_indian_alaska_native,0.0,0.0,race
2021-2022,3830395,pacific_islander,0.0,0.0,race
2021-2022,3830395,mixed,0.0,0.0,race
2021-2022,3830395,white,0.0,0.0,race
2021-2022,3830395,disabled,130.0,130.0,student
2021-2022,3830395,english_learner,920.0,270.0,student
2021-2022,3830395,foster,0.0,0.0,student
2021-2022,3830395,homeless,0.0,0.0,student
2021-2022,3830395,socioeconomically_disadvantaged,860.0,480.0,student
2021-2022,3830395,,1260.0,590.0,total
2021-2022,3830445,female,510.0,480.0,gender
2021-2022,3830445,male,600.0,540.0,gender
2021-2022,3830445,7-8,0.0,0.0,grade
2021-2022,3830445,9-12,1070.0,990.0,grade
2021-2022,3830445,K-8,0.0,0.0,grade
2021-2022,3830445,asian,0.0,0.0,race
2021-2022,3830445,black,560.0,530.0,race
2021-2022,3830445,not_reported,0.0,0.0,race
2021-2022,3830445,filipino,0.0,0.0,race
2021-2022,3830445,hispanic_latino,330.0,300.0,race
2021-2022,3830445,american_indian_alaska_native,0.0,0.0,race
2021-2022,3830445,pacific_islander,0.0,0.0,race
2021-2022,3830445,mixed,0.0,0.0,race
2021-2022,3830445,white,0.0,0.0,race
2021-2022,3830445,disabled,540.0,490.0,student
2021-2022,3830445,english_learner,110.0,100.0,student
2021-2022,3830445,foster,160.0,130.0,student
2021-2022,3830445,homeless,180.0,180.0,student
2021-2022,3830445,socioeconomically_disadvantaged,890.0,840.0,student
2021-2022,3830445,,1110.0,1020.0,total
2021-2022,6069561,female,360.0,210.0,gender
2021-2022,6069561,male,330.0,180.0,gender
2021-2022,6069561,4-6,0.0,0.0,grade
2021-2022,6069561,7-8,0.0,0.0,grade
2021-2022,6069561,9-12,630.0,360.0,grade
2021-2022,6069561,K-8,0.0,0.0,grade
2021-2022,6069561,asian,210.0,70.0,race
2021-2022,6069561,black,0.0,0.0,race
2021-2022,6069561,not_reported,0.0,0.0,race
2021-2022,6069561,filipino,0.0,0.0,race
2021-2022,6069561,hispanic_latino,210.0,170.0,race
2021-2022,6069561,american_indian_alaska_native,0.0,0.0,race
2021-2022,6069561,pacific_islander,0.0,0.0,race
2021-2022,6069561,mixed,0.0,0.0,race
2021-2022,6069561,white,110.0,30.0,race
2021-2022,6069561,disabled,410.0,230.0,student
2021-2022,6069561,english_learner,0.0,0.0,student
2021-2022,6069561,foster,0.0,0.0,student
2021-2022,6069561,homeless,0.0,0.0,student
2021-2022,6069561,socioeconomically_disadvantaged,260.0,150.0,student
2021-2022,6069561,,690.0,390.0,total
2021-2022,0,female,390.0,170.0,gender
2021-2022,0,male,270.0,160.0,gender
2021-2022,0,K-8,660.0,330.0,grade
2021-2022,0,K,660.0,330.0,grade
2021-2022,0,asian,190.0,60.0,race
2021-2022,0,black,0.0,0.0,race
2021-2022,0,not_reported,0.0,0.0,race
2021-2022,0,filipino,0.0,0.0,race
2021-2022,0,hispanic_latino,250.0,170.0,race
2021-2022,0,american_indian_alaska_native,0.0,0.0,race
2021-2022,0,pacific_islander,0.0,0.0,race
2021-2022,0,mixed,0.0,0.0,race
2021-2022,0,white,0.0,0.0,race
2021-2022,0,disabled,0.0,0.0,student
2021-2022,0,english_learner,220.0,130.0,student
2021-2022,0,socioeconomically_disadvantaged,320.0,190.0,student
2021-2022,0,,660.0,330.0,total
2021-2022,101337,female,1160.0,890.0,gender
2021-2022,101337,male,1480.0,1130.0,gender
2021-2022,101337,4-6,990.0,750.0,grade
2021-2022,101337,7-8,1650.0,1270.0,grade
2021-2022,101337,K-8,2640.0,2020.0,grade
2021-2022,101337,asian,0.0,0.0,race
2021-2022,101337,black,920.0,800.0,race
2021-2022,101337,not_reported,0.0,0.0,race
2021-2022,101337,filipino,0.0,0.0,race
2021-2022,101337,hispanic_latino,1290.0,910.0,race
2021-2022,101337,american_indian_alaska_native,0.0,0.0,race
2021-2022,101337,pacific_islander,160.0,140.0,race
2021-2022,101337,mixed,170.0,140.0,race
2021-2022,101337,white,0.0,0.0,race
2021-2022,101337,disabled,570.0,470.0,student
2021-2022,101337,english_learner,860.0,590.0,student
2021-2022,101337,foster,0.0,0.0,student
2021-2022,101337,homeless,0.0,0.0,student
2021-2022,101337,socioeconomically_disadvantaged,2310.0,1820.0,student
2021-2022,101337,,2640.0,2020.0,total
2021-2022,101352,female,1300.0,520.0,gender
2021-2022,101352,male,1790.0,650.0,gender
2021-2022,101352,4-6,1030.0,390.0,grade
2021-2022,101352,7-8,2070.0,780.0,grade
2021-2022,101352,K-8,3100.0,1170.0,grade
2021-2022,101352,nonbinary,0.0,0.0,gender
2021-2022,101352,asian,0.0,0.0,race
2021-2022,101352,black,530.0,380.0,race
2021-2022,101352,not_reported,0.0,0.0,race
2021-2022,101352,filipino,0.0,0.0,race
2021-2022,101352,hispanic_latino,2170.0,660.0,race
2021-2022,101352,american_indian_alaska_native,0.0,0.0,race
2021-2022,101352,pacific_islander,0.0,0.0,race
2021-2022,101352,mixed,0.0,0.0,race
2021-2022,101352,white,130.0,30.0,race
2021-2022,101352,disabled,580.0,240.0,student
2021-2022,101352,english_learner,1380.0,410.0,student
2021-2022,101352,foster,0.0,0.0,student
2021-2022,101352,homeless,120.0,40.0,student
2021-2022,101352,socioeconomically_disadvantaged,2860.0,1070.0,student
2021-2022,101352,,3100.0,1170.0,total
2021-2022,101774,female,120.0,120.0,gender
2021-2022,101774,male,2320.0,2000.0,gender
2021-2022,101774,9-12,2450.0,2130.0,grade
2021-2022,101774,nonbinary,0.0,0.0,gender
2021-2022,101774,asian,0.0,0.0,race
2021-2022,101774,black,380.0,370.0,race
2021-2022,101774,not_reported,0.0,0.0,race
2021-2022,101774,filipino,0.0,0.0,race
2021-2022,101774,hispanic_latino,1740.0,1470.0,race
2021-2022,101774,american_indian_alaska_native,0.0,0.0,race
2021-2022,101774,pacific_islander,0.0,0.0,race
2021-2022,101774,mixed,0.0,0.0,race
2021-2022,101774,white,270.0,240.0,race
2021-2022,101774,disabled,150.0,140.0,student
2021-2022,101774,english_learner,0.0,0.0,student
2021-2022,101774,foster,0.0,0.0,student
2021-2022,101774,homeless,200.0,200.0,student
2021-2022,101774,socioeconomically_disadvantaged,980.0,890.0,student
2021-2022,101774,,2450.0,2130.0,total
2021-2022,102103,female,970.0,540.0,gender
2021-2022,102103,male,1210.0,460.0,gender
2021-2022,102103,9-12,2180.0,1000.0,grade
2021-2022,102103,asian,0.0,0.0,race
2021-2022,102103,black,330.0,210.0,race
2021-2022,102103,not_reported,0.0,0.0,race
2021-2022,102103,filipino,0.0,0.0,race
2021-2022,102103,hispanic_latino,1520.0,680.0,race
2021-2022,102103,american_indian_alaska_native,0.0,0.0,race
2021-2022,102103,pacific_islander,0.0,0.0,race
2021-2022,102103,mixed,0.0,0.0,race
2021-2022,102103,white,0.0,0.0,race
2021-2022,102103,disabled,510.0,190.0,student
2021-2022,102103,english_learner,700.0,300.0,student
2021-2022,102103,foster,0.0,0.0,student
2021-2022,102103,homeless,160.0,60.0,student
2021-2022,102103,socioeconomically_disadvantaged,1580.0,740.0,student
2021-2022,102103,,2180.0,1000.0,total
2021-2022,107300,female,1170.0,710.0,gender
2021-2022,107300,male,1250.0,660.0,gender
2021-2022,107300,9-12,2440.0,1380.0,grade
2021-2022,107300,nonbinary,0.0,0.0,gender
2021-2022,107300,asian,0.0,0.0,race
2021-2022,107300,black,290.0,180.0,race
2021-2022,107300,not_reported,150.0,120.0,race
2021-2022,107300,filipino,110.0,40.0,race
2021-2022,107300,hispanic_latino,1530.0,870.0,race
2021-2022,107300,american_indian_alaska_native,0.0,0.0,race
2021-2022,107300,pacific_islander,0.0,0.0,race
2021-2022,107300,mixed,120.0,80.0,race
2021-2022,107300,white,130.0,60.0,race
2021-2022,107300,disabled,420.0,270.0,student
2021-2022,107300,english_learner,470.0,310.0,student
2021-2022,107300,socioeconomically_disadvantaged,1600.0,980.0,student
2021-2022,107300,,2440.0,1380.0,total
2021-2022,111427,female,1970.0,380.0,gender
2021-2022,111427,male,2150.0,460.0,gender
2021-2022,111427,1-3,2140.0,370.0,grade
2021-2022,111427,4-6,1320.0,260.0,grade
2021-2022,111427,K-8,4120.0,840.0,grade
2021-2022,111427,K,660.0,210.0,grade
2021-2022,111427,asian,1290.0,160.0,race
2021-2022,111427,black,0.0,0.0,race
2021-2022,111427,not_reported,200.0,10.0,race
2021-2022,111427,filipino,190.0,40.0,race
2021-2022,111427,hispanic_latino,500.0,180.0,race
2021-2022,111427,american_indian_alaska_native,0.0,0.0,race
2021-2022,111427,pacific_islander,0.0,0.0,race
2021-2022,111427,mixed,490.0,130.0,race
2021-2022,111427,white,1350.0,300.0,race
2021-2022,111427,disabled,510.0,150.0,student
2021-2022,111427,english_learner,610.0,140.0,student
2021-2022,111427,foster,0.0,0.0,student
2021-2022,111427,homeless,0.0,0.0,student
2021-2022,111427,socioeconomically_disadvantaged,1090.0,310.0,student
2021-2022,111427,,4120.0,840.0,total
2021-2022,117465,female,0.0,0.0,gender
2021-2022,117465,male,150.0,70.0,gender
2021-2022,117465,K-8,240.0,90.0,grade
2021-2022,117465,K,240.0,90.0,grade
2021-2022,117465,asian,240.0,90.0,race
2021-2022,117465,black,0.0,0.0,race
2021-2022,117465,not_reported,0.0,0.0,race
2021-2022,117465,filipino,0.0,0.0,race
2021-2022,117465,hispanic_latino,0.0,0.0,race
2021-2022,117465,american_indian_alaska_native,0.0,0.0,race
2021-2022,117465,pacific_islander,0.0,0.0,race
2021-2022,117465,mixed,0.0,0.0,race
2021-2022,117465,white,0.0,0.0,race
2021-2022,117465,disabled,0.0,0.0,student
2021-2022,117465,english_learner,210.0,80.0,student
2021-2022,117465,socioeconomically_disadvantaged,200.0,70.0,student
2021-2022,117465,,240.0,90.0,total
2021-2022,117473,female,150.0,50.0,gender
2021-2022,117473,male,260.0,70.0,gender
2021-2022,117473,K-8,410.0,120.0,grade
2021-2022,117473,K,410.0,120.0,grade
2021-2022,117473,asian,280.0,70.0,race
2021-2022,117473,black,0.0,0.0,race
2021-2022,117473,not_reported,0.0,0.0,race
2021-2022,117473,filipino,0.0,0.0,race
2021-2022,117473,hispanic_latino,0.0,0.0,race
2021-2022,117473,american_indian_alaska_native,0.0,0.0,race
2021-2022,117473,pacific_islander,0.0,0.0,race
2021-2022,117473,mixed,0.0,0.0,race
2021-2022,117473,white,0.0,0.0,race
2021-2022,117473,disabled,0.0,0.0,student
2021-2022,117473,english_learner,180.0,60.0,student
2021-2022,117473,socioeconomically_disadvantaged,250.0,100.0,student
2021-2022,117473,,410.0,120.0,total
2021-2022,117499,female,120.0,40.0,gender
2021-2022,117499,male,0.0,0.0,gender
2021-2022,117499,K-8,220.0,80.0,grade
2021-2022,117499,K,220.0,80.0,grade
2021-2022,117499,asian,0.0,0.0,race
2021-2022,117499,black,0.0,0.0,race
2021-2022,117499,not_reported,0.0,0.0,race
2021-2022,117499,filipino,0.0,0.0,race
2021-2022,117499,hispanic_latino,0.0,0.0,race
2021-2022,117499,american_indian_alaska_native,0.0,0.0,race
2021-2022,117499,pacific_islander,0.0,0.0,race
2021-2022,117499,mixed,0.0,0.0,race
2021-2022,117499,white,0.0,0.0,race
2021-2022,117499,english_learner,0.0,0.0,student
2021-2022,117499,socioeconomically_disadvantaged,0.0,0.0,student
2021-2022,117499,,220.0,80.0,total
2021-2022,117523,female,230.0,90.0,gender
2021-2022,117523,male,260.0,120.0,gender
2021-2022,117523,K-8,500.0,210.0,grade
2021-2022,117523,K,500.0,210.0,grade
2021-2022,117523,nonbinary,0.0,0.0,gender
2021-2022,117523,asian,120.0,40.0,race
2021-2022,117523,black,0.0,0.0,race
2021-2022,117523,not_reported,0.0,0.0,race
2021-2022,117523,filipino,0.0,0.0,race
2021-2022,117523,hispanic_latino,0.0,0.0,race
2021-2022,117523,american_indian_alaska_native,0.0,0.0,race
2021-2022,117523,pacific_islander,0.0,0.0,race
2021-2022,117523,mixed,0.0,0.0,race
2021-2022,117523,white,110.0,10.0,race
2021-2022,117523,disabled,0.0,0.0,student
2021-2022,117523,english_learner,0.0,0.0,student
2021-2022,117523,homeless,0.0,0.0,student
2021-2022,117523,socioeconomically_disadvantaged,170.0,100.0,student
2021-2022,117523,,500.0,210.0,total
2021-2022,117531,female,0.0,0.0,gender
2021-2022,117531,male,140.0,110.0,gender
2021-2022,117531,K-8,220.0,170.0,grade
2021-2022,117531,K,220.0,170.0,grade
2021-2022,117531,asian,0.0,0.0,race
2021-2022,117531,black,0.0,0.0,race
2021-2022,117531,not_reported,0.0,0.0,race
2021-2022,117531,filipino,0.0,0.0,race
2021-2022,117531,hispanic_latino,110.0,90.0,race
2021-2022,117531,american_indian_alaska_native,0.0,0.0,race
2021-2022,117531,pacific_islander,0.0,0.0,race
2021-2022,117531,mixed,0.0,0.0,race
2021-2022,117531,white,0.0,0.0,race
2021-2022,117531,disabled,0.0,0.0,student
2021-2022,117531,english_learner,0.0,0.0,student
2021-2022,117531,socioeconomically_disadvantaged,150.0,110.0,student
2021-2022,117531,,220.0,170.0,total
2021-2022,118133,female,650.0,610.0,gender
2021-2022,118133,male,770.0,560.0,gender
2021-2022,118133,9-12,1430.0,1170.0,grade
2021-2022,118133,nonbinary,0.0,0.0,gender
2021-2022,118133,asian,0.0,0.0,race
2021-2022,118133,black,130.0,80.0,race
2021-2022,118133,not_reported,0.0,0.0,race
2021-2022,118133,filipino,0.0,0.0,race
2021-2022,118133,hispanic_latino,1140.0,1000.0,race
2021-2022,118133,american_indian_alaska_native,0.0,0.0,race
2021-2022,118133,pacific_islander,0.0,0.0,race
2021-2022,118133,mixed,0.0,0.0,race
2021-2022,118133,white,0.0,0.0,race
2021-2022,118133,disabled,360.0,350.0,student
2021-2022,118133,english_learner,210.0,210.0,student
2021-2022,118133,foster,0.0,0.0,student
2021-2022,118133,homeless,0.0,0.0,student
2021-2022,118133,socioeconomically_disadvantaged,1020.0,940.0,student
2021-2022,118133,,1430.0,1170.0,total
2021-2022,118141,female,20180.0,15840.0,gender
2021-2022,118141,male,26620.0,18870.0,gender
2021-2022,118141,9-12,46870.0,34750.0,grade
2021-2022,118141,nonbinary,0.0,0.0,gender
2021-2022,118141,asian,630.0,500.0,race
2021-2022,118141,black,9720.0,7620.0,race
2021-2022,118141,not_reported,0.0,0.0,race
2021-2022,118141,filipino,360.0,260.0,race
2021-2022,118141,hispanic_latino,29120.0,21490.0,race
2021-2022,118141,american_indian_alaska_native,440.0,350.0,race
2021-2022,118141,pacific_islander,480.0,360.0,race
2021-2022,118141,mixed,1860.0,1320.0,race
2021-2022,118141,white,4260.0,2850.0,race
2021-2022,118141,disabled,1870.0,1660.0,student
2021-2022,118141,english_learner,1550.0,1210.0,student
2021-2022,118141,foster,430.0,400.0,student
2021-2022,118141,homeless,4780.0,3560.0,student
2021-2022,118141,migrant,0.0,0.0,student
