school_code,academic_year,enrollment,frpm_count,foster_count,homeless_count,migrant_program_count,direct_certification_count,frpm_eligible_count,english_learned_count,unduplicated_count,source_sheet,foster_tribal_count
0000000,2019-2020,333,61,28,25,2,91,149,52,176,LEA-Level CALPADS UPC Data,
0000000,2019-2020,52778,25794,227,2212,120,15833,26290,15055,30659,LEA-Level CALPADS UPC Data,
0000000,2019-2020,128,0,6,6,0,25,34,10,40,School-Level CALPADS UPC Data,
0000000,2019-2020,61,0,0,0,0,10,10,23,27,School-Level CALPADS UPC Data,
0000000,2022-2023,346,135,17,23,0,123,168,93,205,LEA-Level CALPADS UPC Data,0
0000000,2022-2023,48785,24670,228,2088,75,18365,25592,13677,29110,LEA-Level CALPADS UPC Data,0
0000000,2022-2023,63,21,0,0,0,11,21,12,27,School-Level CALPADS UPC Data,0
0000000,2018-2019,307,93,31,24,1,110,163,65,193,LEA-Level CALPADS UPC Data,
0000000,2018-2019,52468,27450,254,2064,164,16168,27896,15028,31960,LEA-Level CALPADS UPC Data,
0000000,2018-2019,1,0,0,0,0,0,0,0,0,School-Level CALPADS UPC Data,
0000000,2018-2019,81,18,0,0,0,20,27,41,46,School-Level CALPADS UPC Data,
0000000,2023-2024,464,140,9,11,0,98,155,84,181,LEA-Level CALPADS UPC Data,0
0000000,2023-2024,48732,25680,236,1332,44,17846,26019,12492,29367,LEA-Level CALPADS UPC Data,0
0000000,2023-2024,65,25,0,0,0,15,25,3,27,School-Level CALPADS UPC Data,0
0000000,2021-2022,208,99,13,21,1,98,128,80,160,LEA-Level CALPADS UPC Data,0
0000000,2021-2022,49203,24995,221,2047,133,17982,25500,13514,29031,LEA-Level CALPADS UPC Data,0
0000000,2021-2022,58,24,0,0,0,15,26,19,31,School-Level CALPADS UPC Data,0
0000000,2020-2021,299,103,18,31,1,120,183,43,199,LEA-Level CALPADS UPC Data,0
0000000,2020-2021,51756,25003,200,2090,134,17589,25649,13957,29759,LEA-Level CALPADS UPC Data,0
0000000,2020-2021,54,0,0,0,1,12,12,23,27,School-Level CALPADS UPC Data,0
0000000,2017-2018,310,82,33,23,1,105,160,73,204,LEA-Level CALPADS UPC Data,
0000000,2017-2018,52590,26801,229,1852,152,16761,28240,15390,32244,LEA-Level CALPADS UPC Data,
0000000,2017-2018,319,96,0,0,0,63,121,113,178,School-Level CALPADS UPC Data,
0000000,2016-2017,378,206,36,35,0,103,233,76,260,LEA-Level CALPADS UPC Data,
0000000,2016-2017,53033,28622,304,1984,192,15560,29244,15109,32646,LEA-Level CALPADS UPC Data,
0000000,2016-2017,355,175,2,0,0,64,175,113,213,School-Level CALPADS UPC Data,
0101337,2019-2020,320,213,2,27,0,135,221,56,238,LEA-Level CALPADS UPC Data,
0101337,2019-2020,320,213,2,27,0,135,221,56,238,School-Level CALPADS UPC Data,
0101337,2022-2023,199,175,0,5,0,110,176,72,181,LEA-Level CALPADS UPC Data,0
0101337,2022-2023,199,175,0,5,0,110,176,72,181,School-Level CALPADS UPC Data,0
0101337,2018-2019,312,249,1,29,0,146,262,66,266,LEA-Level CALPADS UPC Data,
0101337,2018-2019,312,249,1,29,0,146,262,66,266,School-Level CALPADS UPC Data,
0101337,2023-2024,185,167,2,4,0,99,169,68,169,LEA-Level CALPADS UPC Data,0
0101337,2023-2024,185,167,2,4,0,99,169,68,169,School-Level CALPADS UPC Data,0
0101337,2021-2022,258,217,1,8,0,123,221,85,226,LEA-Level CALPADS UPC Data,0
0101337,2021-2022,258,217,1,8,0,123,221,85,226,School-Level CALPADS UPC Data,0
0101337,2020-2021,285,246,1,6,0,147,249,71,254,LEA-Level CALPADS UPC Data,0
0101337,2020-2021,285,246,1,6,0,147,249,71,254,School-Level CALPADS UPC Data,0
0101337,2017-2018,294,219,1,15,0,142,226,47,231,LEA-Level CALPADS UPC Data,
0101337,2017-2018,294,219,1,15,0,142,226,47,231,School-Level CALPADS UPC Data,
0101337,2016-2017,263,203,2,2,0,84,211,35,215,LEA-Level CALPADS UPC Data,
0101337,2016-2017,263,203,2,2,0,84,211,35,215,School-Level CALPADS UPC Data,
0101352,2019-2020,357,299,0,19,0,171,301,110,310,LEA-Level CALPADS UPC Data,
0101352,2019-2020,357,299,0,19,0,171,301,110,310,School-Level CALPADS UPC Data,
0101352,2022-2023,278,261,1,15,0,154,264,138,266,LEA-Level CALPADS UPC Data,0
0101352,2022-2023,278,261,1,15,0,154,264,138,266,School-Level CALPADS UPC Data,0
0101352,2018-2019,369,300,1,16,0,157,312,122,322,LEA-Level CALPADS UPC Data,
0101352,2018-2019,369,300,1,16,0,157,312,122,322,School-Level CALPADS UPC Data,
0101352,2023-2024,266,238,2,9,0,128,240,120,245,LEA-Level CALPADS UPC Data,0
0101352,2023-2024,266,238,2,9,0,128,240,120,245,School-Level CALPADS UPC Data,0
0101352,2021-2022,310,280,5,12,0,165,281,138,287,LEA-Level CALPADS UPC Data,0
0101352,2021-2022,310,280,5,12,0,165,281,138,287,School-Level CALPADS UPC Data,0
0101352,2020-2021,351,315,0,17,0,197,318,135,322,LEA-Level CALPADS UPC Data,0
0101352,2020-2021,351,315,0,17,0,197,318,135,322,School-Level CALPADS UPC Data,0
0101352,2017-2018,378,313,1,3,0,168,315,123,321,LEA-Level CALPADS UPC Data,
0101352,2017-2018,378,313,1,3,0,168,315,123,321,School-Level CALPADS UPC Data,
0101352,2016-2017,364,309,0,4,3,104,312,126,316,LEA-Level CALPADS UPC Data,
0101352,2016-2017,364,309,0,4,3,104,312,126,316,School-Level CALPADS UPC Data,
0101774,2019-2020,345,0,1,0,0,3,4,77,81,LEA-Level CALPADS UPC Data,
0101774,2019-2020,345,0,1,0,0,3,4,77,81,School-Level CALPADS UPC Data,
0101774,2022-2023,135,14,2,13,0,29,40,42,74,LEA-Level CALPADS UPC Data,0
0101774,2022-2023,135,14,2,13,0,29,40,42,74,School-Level CALPADS UPC Data,0
0101774,2018-2019,348,0,0,0,0,8,8,52,56,LEA-Level CALPADS UPC Data,
0101774,2018-2019,348,0,0,0,0,8,8,52,56,School-Level CALPADS UPC Data,
0101774,2023-2024,153,14,2,4,0,30,49,55,93,LEA-Level CALPADS UPC Data,0
0101774,2023-2024,153,14,2,4,0,30,49,55,93,School-Level CALPADS UPC Data,0
0101774,2021-2022,87,1,1,9,0,6,13,21,33,LEA-Level CALPADS UPC Data,0
0101774,2021-2022,87,1,1,9,0,6,13,21,33,School-Level CALPADS UPC Data,0
0101774,2020-2021,110,2,4,3,0,34,37,19,52,LEA-Level CALPADS UPC Data,0
0101774,2020-2021,110,2,4,3,0,34,37,19,52,School-Level CALPADS UPC Data,0
0101774,2017-2018,354,0,0,0,0,17,17,48,62,LEA-Level CALPADS UPC Data,
0101774,2017-2018,354,0,0,0,0,17,17,48,62,School-Level CALPADS UPC Data,
0101774,2016-2017,337,0,0,0,0,13,13,46,57,LEA-Level CALPADS UPC Data,
0101774,2016-2017,337,0,0,0,0,13,13,46,57,School-Level CALPADS UPC Data,
0107300,2019-2020,260,129,3,0,0,91,156,38,168,LEA-Level CALPADS UPC Data,
0107300,2019-2020,260,129,3,0,0,91,156,38,168,School-Level CALPADS UPC Data,
0107300,2022-2023,473,322,2,1,0,204,327,119,361,LEA-Level CALPADS UPC Data,0
0107300,2022-2023,473,322,2,1,0,204,327,119,361,School-Level CALPADS UPC Data,0
0107300,2018-2019,276,195,1,0,0,107,209,42,219,LEA-Level CALPADS UPC Data,
0107300,2018-2019,276,195,1,0,0,107,209,42,219,School-Level CALPADS UPC Data,
0107300,2023-2024,407,269,0,1,0,184,287,111,315,LEA-Level CALPADS UPC Data,0
0107300,2023-2024,407,269,0,1,0,184,287,111,315,School-Level CALPADS UPC Data,0
0107300,2021-2022,232,101,0,0,0,95,122,44,139,LEA-Level CALPADS UPC Data,0
0107300,2021-2022,232,101,0,0,0,95,122,44,139,School-Level CALPADS UPC Data,0
0107300,2020-2021,250,98,1,0,0,102,136,30,143,LEA-Level CALPADS UPC Data,0
0107300,2020-2021,250,98,1,0,0,102,136,30,143,School-Level CALPADS UPC Data,0
0107300,2017-2018,288,168,0,2,0,119,190,42,203,LEA-Level CALPADS UPC Data,
0107300,2017-2018,288,168,0,2,0,119,190,42,203,School-Level CALPADS UPC Data,
