ACADEMIC_YEAR,CDS_CODE,SCHOOL,African American,American Indian or Alaska Native,Asian,Filipino,Hispanic or Latino,Not Reported,Pacific Islander,Two or More Races,White
2014-15,38103893830361.0,S.F. County Court Woodside Learning Ctr,25.0,0.0,1.0,0.0,22.0,1.0,3.0,0.0,4.0
2014-15,38103893830395.0,S.F. County Opportunity (Hilltop),11.0,1.0,3.0,1.0,37.0,0.0,2.0,0.0,3.0
2014-15,38103893830445.0,S.F. County Civic Center Secondary,43.0,2.0,16.0,5.0,45.0,6.0,5.0,4.0,14.0
2014-15,38103896069561.0,S.F. County Special Education,5.0,0.0,8.0,2.0,9.0,0.0,0.0,1.0,2.0
2014-15,38684780101337.0,KIPP Bayview Academy,174.0,2.0,13.0,2.0,66.0,0.0,19.0,0.0,7.0
2014-15,38684780101352.0,KIPP San Francisco Bay Academy,72.0,2.0,25.0,7.0,225.0,10.0,2.0,7.0,13.0
2014-15,38684780101774.0,Five Keys Charter (SF Sheriff's),161.0,2.0,22.0,2.0,178.0,0.0,5.0,8.0,67.0
2014-15,38684780102103.0,Jordan (June) School for Equity,50.0,0.0,13.0,18.0,164.0,5.0,3.0,3.0,6.0
2014-15,38684780107300.0,City Arts and Tech High,67.0,3.0,5.0,18.0,221.0,5.0,10.0,13.0,18.0
2014-15,38684780111427.0,Feinstein (Dianne) Elementary,11.0,0.0,188.0,18.0,63.0,19.0,1.0,35.0,172.0
2014-15,38684780118133.0,Five Keys Adult School (SF Sheriff's),64.0,1.0,4.0,0.0,61.0,0.0,2.0,4.0,23.0
2014-15,38684780118141.0,Five Keys Independence HS (SF Sheriff's),406.0,16.0,31.0,12.0,819.0,1.0,25.0,14.0,100.0
2014-15,38684780119875.0,S.F. International High,1.0,0.0,104.0,11.0,227.0,11.0,2.0,1.0,10.0
2014-15,38684780119958.0,Academy of Arts and Sciences,34.0,3.0,66.0,12.0,142.0,11.0,5.0,9.0,43.0
2014-15,38684780120386.0,Chinese Immersion School at DeAvila,5.0,0.0,253.0,5.0,15.0,12.0,0.0,43.0,64.0
2014-15,38684780123117.0,San Francisco Public Montessori,10.0,1.0,9.0,2.0,25.0,14.0,0.0,9.0,75.0
2014-15,38684780123265.0,Gateway Middle,41.0,1.0,43.0,5.0,83.0,13.0,2.0,23.0,94.0
2014-15,38684780127530.0,KIPP San Francisco College Preparatory,87.0,2.0,12.0,7.0,129.0,0.0,4.0,4.0,6.0
2014-15,38684780128876.0,Gateway to College,29.0,0.0,20.0,9.0,31.0,6.0,2.0,0.0,6.0
2014-15,38684783830031.0,Wells (Ida B.) High,41.0,4.0,28.0,5.0,74.0,2.0,3.0,1.0,5.0
2014-15,38684783830064.0,Downtown High,45.0,5.0,8.0,3.0,98.0,4.0,6.0,1.0,8.0
2014-15,38684783830197.0,Independence High,45.0,2.0,41.0,15.0,70.0,9.0,4.0,3.0,45.0
2014-15,38684783830205.0,Wallenberg (Raoul) Traditional High,78.0,5.0,340.0,27.0,95.0,16.0,3.0,13.0,62.0
2014-15,38684783830254.0,Burton (Phillip and Sala) Academic High,105.0,2.0,368.0,197.0,264.0,19.0,42.0,17.0,32.0
2014-15,38684783830288.0,Balboa High,92.0,7.0,501.0,128.0,391.0,31.0,35.0,9.0,63.0
2014-15,38684783830353.0,International Studies Academy,58.0,4.0,14.0,15.0,62.0,8.0,22.0,3.0,10.0
2014-15,38684783830387.0,"Asawa (Ruth) San Francisco School of the Arts, A P",51.0,3.0,142.0,34.0,90.0,31.0,2.0,19.0,252.0
2014-15,38684783830403.0,Marshall (Thurgood) High,45.0,1.0,201.0,17.0,153.0,5.0,22.0,3.0,3.0
2014-15,38684783830411.0,Leadership High,47.0,0.0,3.0,14.0,174.0,5.0,1.0,15.0,5.0
2014-15,38684783830429.0,Life Learning Academy Charter,18.0,1.0,0.0,2.0,13.0,2.0,2.0,0.0,2.0
2014-15,38684783830437.0,Gateway High,78.0,0.0,66.0,10.0,155.0,18.0,1.0,31.0,130.0
2014-15,38684783831765.0,Galileo High,105.0,6.0,1237.0,67.0,330.0,40.0,16.0,8.0,100.0
2014-15,38684783833241.0,Lincoln (Abraham) High,115.0,12.0,1157.0,99.0,410.0,75.0,26.0,21.0,112.0
2014-15,38684783833407.0,Lowell High,61.0,8.0,1559.0,203.0,284.0,149.0,17.0,51.0,386.0
2014-15,38684783834082.0,Mission High,147.0,4.0,194.0,37.0,479.0,37.0,3.0,9.0,85.0
2014-15,38684783834769.0,O'Connell (John) High,81.0,5.0,52.0,31.0,239.0,5.0,5.0,5.0,29.0
2014-15,38684783839081.0,Washington (George) High,86.0,9.0,1288.0,89.0,274.0,66.0,14.0,23.0,152.0
2014-15,38684786040695.0,Alamo Elementary,6.0,0.0,285.0,12.0,50.0,27.0,5.0,45.0,108.0
2014-15,38684786040703.0,Alvarado Elementary,22.0,3.0,11.0,14.0,229.0,20.0,1.0,27.0,201.0
2014-15,38684786040737.0,Argonne Elementary,6.0,0.0,179.0,7.0,60.0,14.0,1.0,36.0,144.0
2014-15,38684786040752.0,Carmichael (Bessie)/FEC,75.0,4.0,39.0,242.0,174.0,35.0,6.0,28.0,33.0
2014-15,38684786040760.0,Harte (Bret) Elementary,61.0,0.0,6.0,3.0,84.0,5.0,27.0,7.0,1.0
