School ID,School Name,Grade,Program,Program Name,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice,9th Choice,10th+
441,Access SFUSD: Bay Street,13,BA,Bay Street Transition Program,0,0,1,0,1,0,0,0,0,0
441,Access SFUSD: Bay Street,13,CA,SDC Transition Program (CAT),6,6,3,0,0,0,0,0,0,0
442,Access SFUSD: The Arc,13,CA,SDC Transition Program (CAT),9,3,8,1,1,0,0,0,0,0
413,Alamo ES,K,GE,,68,60,57,38,44,24,20,8,9,104
413,Alamo ES,K,SA,,4,2,1,1,1,0,0,0,0,0
413,Alamo ES,1,GE,,0,0,0,2,0,1,0,0,1,3
413,Alamo ES,1,SA,,0,0,0,0,1,0,0,0,0,0
413,Alamo ES,2,GE,,5,4,5,1,2,1,0,0,0,2
413,Alamo ES,2,SA,,0,0,0,0,0,0,0,0,0,0
413,Alamo ES,3,GE,,1,3,4,4,1,1,0,0,0,1
413,Alamo ES,3,SA,,0,0,0,0,0,0,0,0,0,0
413,Alamo ES,4,GE,,1,4,3,1,1,0,1,0,0,1
413,Alamo ES,4,SA,,0,0,1,0,0,0,0,0,0,0
413,Alamo ES,5,GE,,1,1,2,1,1,0,0,0,0,1
413,Alamo ES,5,SA,,0,0,0,0,0,0,0,0,0,0
420,Alvarado ES,TK,GE,,86,65,47,31,28,7,3,7,5,10
420,Alvarado ES,K,GE,,37,86,63,52,57,28,22,16,22,68
420,Alvarado ES,K,MS,,2,3,1,0,0,0,0,0,0,0
420,Alvarado ES,K,SE,,101,54,38,35,27,17,11,11,5,43
420,Alvarado ES,K,SN,,50,21,16,12,4,0,0,0,1,5
420,Alvarado ES,1,GE,,6,1,6,4,5,1,2,1,1,2
420,Alvarado ES,1,MS,,0,0,0,0,0,0,0,0,0,0
420,Alvarado ES,1,SE,,5,7,5,0,2,2,1,0,0,0
420,Alvarado ES,1,SN,,3,1,0,1,0,0,0,0,0,0
420,Alvarado ES,2,GE,,6,3,6,2,4,1,0,1,0,1
420,Alvarado ES,2,MS,,0,0,0,0,0,0,0,0,0,0
420,Alvarado ES,2,SN,,3,0,0,0,0,0,0,0,0,0
