idSchool,SchoolName,Grade,Program Code,Program Name,Total Requests,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice,9th Choice,10th+
441,Access SFUSD: Bay Street,13,BA,Bay Street Transition Program,3,1,1,1,0,0,0,0,0,0,0
441,Access SFUSD: Bay Street,13,CA,SDC Transition Program (CAT),9,3,3,1,2,0,0,0,0,0,0
442,Access SFUSD: The Arc,13,CA,SDC Transition Program (CAT),18,5,5,4,3,1,0,0,0,0,0
413,Alamo ES,K,GE,GE: General Education,428,48,64,57,46,47,22,23,14,19,88
413,Alamo ES,1,GE,GE: General Education,17,3,3,2,3,3,0,1,1,0,1
413,Alamo ES,2,GE,GE: General Education,8,1,2,1,2,1,1,0,0,0,0
413,Alamo ES,3,GE,GE: General Education,16,4,2,4,4,1,0,0,0,1,0
413,Alamo ES,4,GE,GE: General Education,10,2,2,1,3,0,0,0,1,0,1
413,Alamo ES,5,GE,GE: General Education,6,2,0,2,2,0,0,0,0,0,0
413,Alamo ES,TK,SA,SA: SDC - Extensive Services Autism Focus,0,0,0,0,0,0,0,0,0,0,0
413,Alamo ES,K,SA,SA: SDC - Extensive Services Autism Focus,6,1,1,1,1,2,0,0,0,0,0
413,Alamo ES,1,SA,SA: SDC - Extensive Services Autism Focus,0,0,0,0,0,0,0,0,0,0,0
413,Alamo ES,2,SA,SA: SDC - Extensive Services Autism Focus,0,0,0,0,0,0,0,0,0,0,0
413,Alamo ES,3,SA,SA: SDC - Extensive Services Autism Focus,0,0,0,0,0,0,0,0,0,0,0
413,Alamo ES,4,SA,SA: SDC - Extensive Services Autism Focus,0,0,0,0,0,0,0,0,0,0,0
413,Alamo ES,5,SA,SA: SDC - Extensive Services Autism Focus,0,0,0,0,0,0,0,0,0,0,0
420,Alvarado ES,TK,GE,GE: General Education,310,96,56,58,36,19,12,7,7,4,15
420,Alvarado ES,K,GE,GE: General Education,393,57,71,45,47,40,28,22,16,11,56
420,Alvarado ES,1,GE,GE: General Education,20,5,5,4,1,0,0,2,0,1,2
420,Alvarado ES,2,GE,GE: General Education,22,4,6,4,2,2,0,3,1,0,0
420,Alvarado ES,3,GE,GE: General Education,20,4,5,4,1,2,1,1,1,0,1
420,Alvarado ES,4,GE,GE: General Education,10,1,1,1,2,1,0,2,0,0,2
420,Alvarado ES,5,GE,GE: General Education,6,0,4,0,1,0,1,0,0,0,0
420,Alvarado ES,K,MS,MS: SDC - Extensive Services,5,1,1,2,0,0,1,0,0,0,0
420,Alvarado ES,1,MS,MS: SDC - Extensive Services,0,0,0,0,0,0,0,0,0,0,0
420,Alvarado ES,2,MS,MS: SDC - Extensive Services,0,0,0,0,0,0,0,0,0,0,0
420,Alvarado ES,3,MS,MS: SDC - Extensive Services,0,0,0,0,0,0,0,0,0,0,0
420,Alvarado ES,4,MS,MS: SDC - Extensive Services,0,0,0,0,0,0,0,0,0,0,0
420,Alvarado ES,5,MS,MS: SDC - Extensive Services,0,0,0,0,0,0,0,0,0,0,0
420,Alvarado ES,K,SE,SE: Spanish Immersion (Non-Native),310,69,62,40,42,28,21,9,6,3,30
420,Alvarado ES,1,SE,SE: Spanish Immersion (Non-Native),18,12,2,0,2,0,0,0,0,1,1
420,Alvarado ES,K,SN,SN: Spanish Immersion (Spanish Speakers),120,51,27,11,19,11,0,0,0,1,0
420,Alvarado ES,1,SN,SN: Spanish Immersion (Spanish Speakers),8,4,2,2,0,0,0,0,0,0,0
420,Alvarado ES,2,SN,SN: Spanish Immersion (Spanish Speakers),6,2,2,0,1,1,0,0,0,0,0
420,Alvarado ES,3,SN,SN: Spanish Immersion (Spanish Speakers),10,4,4,0,0,1,1,0,0,0,0
420,Alvarado ES,4,SN,SN: Spanish Immersion (Spanish Speakers),3,2,1,0,0,0,0,0,0,0,0
420,Alvarado ES,5,SN,SN: Spanish Immersion (Spanish Speakers),2,0,0,1,0,1,0,0,0,0,0
431,Aptos MS,6,GE,GE: General Education,"1,022",213,245,185,156,129,47,20,14,8,5
431,Aptos MS,7,GE,GE: General Education,21,4,4,4,4,1,2,1,0,0,1
431,Aptos MS,8,GE,GE: General Education,8,3,2,2,1,0,0,0,0,0,0
431,Aptos MS,6,MM,MM: SDC - Mild to Moderate,20,6,6,4,3,0,1,0,0,0,0
431,Aptos MS,7,MM,MM: SDC - Mild to Moderate,1,0,0,0,0,0,0,0,0,0,1
431,Aptos MS,8,MM,MM: SDC - Mild to Moderate,0,0,0,0,0,0,0,0,0,0,0
431,Aptos MS,6,MN,MN: Mandarin Immersion (Mandarin Speakers),70,45,8,6,7,1,2,1,0,0,0
431,Aptos MS,7,MN,MN: Mandarin Immersion (Mandarin Speakers),0,0,0,0,0,0,0,0,0,0,0
431,Aptos MS,8,MN,MN: Mandarin Immersion (Mandarin Speakers),0,0,0,0,0,0,0,0,0,0,0
431,Aptos MS,6,SA,SA: SDC - Extensive Services Autism Focus,1,0,1,0,0,0,0,0,0,0,0
431,Aptos MS,7,SA,SA: SDC - Extensive Services Autism Focus,0,0,0,0,0,0,0,0,0,0,0
431,Aptos MS,8,SA,SA: SDC - Extensive Services Autism Focus,0,0,0,0,0,0,0,0,0,0,0
903,Argonne EES,TK,GE,GE: General Education,144,38,39,8,12,20,5,4,4,3,11
435,Argonne ES,K,AF,AF: SDC - Mild/Mod Autism Focus,21,8,1,2,4,2,2,1,0,1,0
435,Argonne ES,1,AF,AF: SDC - Mild/Mod Autism Focus,0,0,0,0,0,0,0,0,0,0,0
435,Argonne ES,2,AF,AF: SDC - Mild/Mod Autism Focus,1,1,0,0,0,0,0,0,0,0,0
435,Argonne ES,3,AF,AF: SDC - Mild/Mod Autism Focus,0,0,0,0,0,0,0,0,0,0,0
435,Argonne ES,4,AF,AF: SDC - Mild/Mod Autism Focus,0,0,0,0,0,0,0,0,0,0,0
435,Argonne ES,5,AF,AF: SDC - Mild/Mod Autism Focus,0,0,0,0,0,0,0,0,0,0,0
435,Argonne ES,TK,GE,GE: General Education,168,28,32,20,20,18,13,9,3,5,20
435,Argonne ES,K,GE,GE: General Education,478,44,51,70,51,60,39,17,29,17,100
435,Argonne ES,1,GE,GE: General Education,16,2,4,4,2,2,0,0,1,0,1
435,Argonne ES,2,GE,GE: General Education,13,1,0,4,1,2,0,2,0,0,3
435,Argonne ES,3,GE,GE: General Education,15,1,2,2,1,5,1,1,0,0,2
435,Argonne ES,4,GE,GE: General Education,8,2,3,1,0,0,0,1,0,0,1
435,Argonne ES,5,GE,GE: General Education,2,0,1,0,0,0,0,0,0,0,1
815,Asawa (Ruth) SOTA HS,13,CA,SDC Transition Program (CAT),0,0,0,0,0,0,0,0,0,0,0
815,Asawa (Ruth) SOTA HS,9,GE,GE: General Education,665,367,100,53,55,68,13,3,3,1,2
815,Asawa (Ruth) SOTA HS,10,GE,GE: General Education,18,12,1,1,3,1,0,0,0,0,0
815,Asawa (Ruth) SOTA HS,11,GE,GE: General Education,11,5,3,0,3,0,0,0,0,0,0
815,Asawa (Ruth) SOTA HS,12,GE,GE: General Education,7,1,3,1,2,0,0,0,0,0,0
815,Asawa (Ruth) SOTA HS,9,MM,MM: SDC - Mild to Moderate,11,5,4,0,0,0,1,0,0,0,1
815,Asawa (Ruth) SOTA HS,10,MM,MM: SDC - Mild to Moderate,0,0,0,0,0,0,0,0,0,0,0
815,Asawa (Ruth) SOTA HS,11,MM,MM: SDC - Mild to Moderate,0,0,0,0,0,0,0,0,0,0,0
815,Asawa (Ruth) SOTA HS,12,MM,MM: SDC - Mild to Moderate,0,0,0,0,0,0,0,0,0,0,0
439,Balboa HS,13,CA,SDC Transition Program (CAT),23,4,9,7,3,0,0,0,0,0,0
439,Balboa HS,9,GE,GE: General Education,"1,432",264,286,294,301,225,45,11,6,0,0
439,Balboa HS,10,GE,GE: General Education,37,16,6,6,4,2,2,1,0,0,0
439,Balboa HS,11,GE,GE: General Education,20,8,4,2,2,3,0,1,0,0,0
439,Balboa HS,12,GE,GE: General Education,15,4,5,5,1,0,0,0,0,0,0
439,Balboa HS,9,MM,MM: SDC - Mild to Moderate,23,3,5,4,5,2,3,0,0,0,1
439,Balboa HS,10,MM,MM: SDC - Mild to Moderate,1,1,0,0,0,0,0,0,0,0,0
439,Balboa HS,11,MM,MM: SDC - Mild to Moderate,0,0,0,0,0,0,0,0,0,0,0
439,Balboa HS,12,MM,MM: SDC - Mild to Moderate,0,0,0,0,0,0,0,0,0,0,0
439,Balboa HS,9,MS,MS: SDC - Extensive Services,2,1,1,0,0,0,0,0,0,0,0
439,Balboa HS,10,MS,MS: SDC - Extensive Services,1,0,1,0,0,0,0,0,0,0,0
439,Balboa HS,11,MS,MS: SDC - Extensive Services,0,0,0,0,0,0,0,0,0,0,0
439,Balboa HS,12,MS,MS: SDC - Extensive Services,0,0,0,0,0,0,0,0,0,0,0
439,Balboa HS,9,NX,NX: Newcomer Program,1,0,1,0,0,0,0,0,0,0,0
439,Balboa HS,10,NX,NX: Newcomer Program,0,0,0,0,0,0,0,0,0,0,0
439,Balboa HS,11,NX,NX: Newcomer Program,0,0,0,0,0,0,0,0,0,0,0
