Grade,Program,SchoolName,1st,2nd,3rd,4th,5th,6-10,6,7,8,9,10,11-25,26+,Grand Total
TK,Gen Ed,Alvarado ES,93,29,27,11,5,6,2,1,2,1,,0,0,171
TK,Gen Ed,Argonne EES,62,55,20,12,4,10,4,2,2,1,1,0,0,163
TK,Gen Ed,Carmichael (Bessie) K-8,13,13,6,2,3,4,1,1,1,,1,0,0,41
TK,Gen Ed,Cobb (Dr William L) ES,8,12,11,11,7,9,5,2,1,1,,0,0,58
TK,Gen Ed,Drew (Dr Charles) College Preparatory Academ,12,9,9,2,1,1,,1,,,,0,0,34
TK,Gen Ed,Flynn (Leonard R) ES,19,25,16,12,3,10,4,3,2,,1,2,0,87
TK,Gen Ed,Harte (Bret) ES,7,16,6,5,,2,1,,1,,,0,0,36
TK,Gen Ed,Malcolm X Academy ES,5,13,4,3,1,2,,,1,,1,0,0,28
TK,Gen Ed,McLaren (John) EES,12,7,9,6,2,5,2,1,,1,1,0,0,41
TK,Gen Ed,Noriega EES,75,31,18,11,4,9,5,1,1,2,,0,0,148
TK,Gen Ed,Presidio EES,32,46,22,13,9,10,6,4,,,,1,0,133
TK,Gen Ed,Redding ES,14,11,10,7,7,9,2,2,1,4,,0,0,58
TK,Gen Ed,Rodriguez (Zaida T) EES,18,16,12,9,4,8,2,3,2,,1,2,0,69
TK,Gen Ed,Serra (Junipero) Annex EES,19,37,21,9,4,12,7,2,1,1,1,1,0,103
TK,Gen Ed,Sheridan ES,19,10,12,8,3,6,1,,3,2,,1,0,59
TK,Gen Ed,Stockton (Commodore) EES,31,9,4,3,8,5,1,,1,1,2,0,0,60
TK,Gen Ed,Tule Elk Park EES,18,31,31,13,8,8,3,3,1,1,,0,0,109
TK,SDC - Deaf and Hard of Hearing,Chavez (Cesar) ES,,,1,,,0,,,,,,0,0,1
TK,SDC - Mild to Moderate,Stevenson (Robert Louis) ES,14,,,,,0,,,,,,0,0,14
TK,SDC - Moderate to Severe,Tule Elk Park EES,2,,,,,0,,,,,,0,0,2
K,Chinese Biliteracy,Chin (John Yehall) ES,20,18,24,8,7,10,3,4,1,2,,7,0,94
K,Chinese Biliteracy,Hillcrest ES,2,4,4,3,1,5,2,,1,1,1,3,1,23
K,Chinese Biliteracy,Lau (Gordon J) ES,53,11,12,7,2,14,5,8,1,,,7,2,108
K,Chinese Biliteracy,Monroe ES,20,15,7,5,2,9,2,3,1,3,,6,0,64
K,Chinese Biliteracy,Moscone (George R) ES,13,,2,2,1,4,2,,,2,,1,0,23
K,Chinese Biliteracy,Parker (Jean) ES,6,14,15,2,8,7,1,3,2,,1,3,0,55
K,Chinese Biliteracy,Spring Valley Science ES,7,2,3,,1,9,3,4,2,,,2,2,26
K,Chinese Biliteracy,Sutro ES,3,2,3,2,2,7,1,3,,1,2,9,0,28
K,Chinese Biliteracy,Taylor (Edward R) ES,26,9,12,5,2,17,8,5,1,2,1,8,0,79
K,Chinese Biliteracy,Ulloa ES,35,32,30,12,13,18,8,3,4,1,2,5,1,146
K,Chinese Biliteracy,Visitacion Valley ES,7,5,2,2,3,5,1,1,,,3,2,2,28
K,Chinese Immersion (Cantonese),Chinese Immersion School at DeAvila ES,29,20,11,11,4,9,3,2,,2,2,10,0,94
K,Chinese Immersion (Cantonese),Garfield ES,2,,3,2,10,7,2,,2,2,1,4,2,30
K,Chinese Immersion (Cantonese),West Portal ES,21,23,19,24,9,31,5,5,6,7,8,1,0,128
K,Chinese Immersion (Non-English),Yu (Alice Fong) K-8,79,41,38,34,18,47,14,9,6,9,9,30,1,288
K,Chinese Immersion (Non-Native),Chinese Immersion School at DeAvila ES,53,52,36,34,22,66,13,24,4,16,9,66,14,343
K,Chinese Immersion (Non-Native),Garfield ES,8,14,7,6,6,11,5,2,3,,1,10,11,73
K,Chinese Immersion (Non-Native),West Portal ES,21,52,35,42,22,66,16,15,12,11,12,45,14,297
K,Chinese Immersion (Non-Native),Yu (Alice Fong) K-8,68,38,31,30,28,70,18,14,10,16,12,59,17,341
K,Filipino Biliteracy,Carmichael (Bessie) K-8,9,8,1,,,1,,,1,,,2,1,22
K,Filipino Biliteracy,Longfellow ES,9,2,1,,,0,,,,,,0,2,14
K,Gen Ed,Alamo ES,85,70,59,48,44,155,37,34,22,33,29,160,12,633
K,Gen Ed,Alvarado ES,71,74,43,31,47,132,47,25,24,20,16,116,25,539
K,Gen Ed,Argonne ES,62,81,87,67,42,186,53,38,38,34,23,183,9,717
K,Gen Ed,Bryant ES,15,18,7,4,7,12,1,5,3,1,2,12,11,86
K,Gen Ed,Carmichael (Bessie) K-8,28,18,9,7,3,14,7,1,6,,,10,7,96
K,Gen Ed,Carver (Dr George W) ES,10,6,1,1,2,3,1,,1,1,,4,6,33
K,Gen Ed,Chavez (Cesar) ES,19,17,17,16,5,19,5,2,4,6,2,17,10,120
K,Gen Ed,Chin (John Yehall) ES,31,19,15,25,11,23,12,2,6,,3,42,22,188
K,Gen Ed,Clarendon ES,88,131,127,86,72,264,75,67,53,36,33,160,4,932
K,Gen Ed,Cleveland ES,21,19,10,4,3,4,1,2,1,,,6,9,76
K,Gen Ed,Cobb (Dr William L) ES,15,13,14,9,5,44,13,9,10,10,2,49,14,163
K,Gen Ed,Drew (Dr Charles) College Preparatory Academ,23,14,10,5,5,16,6,3,4,,3,3,5,81
K,Gen Ed,El Dorado ES,3,10,9,3,5,6,3,2,,1,,5,6,47
K,Gen Ed,Feinstein (Dianne) ES,57,34,34,46,43,189,46,27,44,33,39,184,19,606
K,Gen Ed,Flynn (Leonard R) ES,23,28,14,14,6,30,11,5,6,4,4,31,16,162
K,Gen Ed,Garfield ES,4,12,12,13,11,25,11,5,3,2,4,32,25,134
K,Gen Ed,Glen Park ES,39,40,32,31,21,90,26,15,16,13,20,92,22,367
K,Gen Ed,Grattan ES,80,68,71,63,55,223,57,38,53,43,32,191,14,765
K,Gen Ed,Guadalupe ES,21,13,16,21,9,20,5,6,2,6,1,3,12,115
K,Gen Ed,Harte (Bret) ES,21,10,2,4,7,13,4,3,3,3,,5,5,67
K,Gen Ed,Hillcrest ES,16,27,14,16,12,24,10,2,3,6,3,23,16,148
K,Gen Ed,Jefferson ES,74,54,63,89,74,295,71,77,65,47,35,174,9,832
K,Gen Ed,Key (Francis Scott) ES,86,55,41,35,46,176,42,40,33,35,26,151,14,604
K,Gen Ed,King (Thomas Starr) ES,6,7,8,10,5,18,4,5,3,5,1,27,21,102
K,Gen Ed,Lafayette ES,93,23,49,57,45,142,42,30,30,20,20,159,19,587
K,Gen Ed,Lakeshore ES,28,35,19,27,18,83,13,30,22,11,7,94,30,334
K,Gen Ed,Lau (Gordon J) ES,33,31,12,16,9,24,7,9,6,2,,19,26,170
