School ID,School Name,Grade,Program Code,Program Name,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice,9th Choice,10th+ Choice
441,Access SFUSD: Bay Street,13,BA,BA: Bay Street Transition Training Center,,,,1,,,,,,
441,Access SFUSD: Bay Street,13,CA,CA: SDC - Transition Program (CAT),4,4,1,,2,,,,1,
442,Access SFUSD: The Arc,13,CA,CA: SDC - Transition Program (CAT),5,5,1,2,1,,,1,1,
413,Alamo ES,K,GE,GE: General Education,50,68,64,46,47,31,25,26,22,147
413,Alamo ES,1,SA,SA: SDC - Mod/Severe Autism Focus,,4,5,1,1,,,,,
413,Alamo ES,1,GE,GE: General Education,3,4,3,4,3,1,1,3,1,
413,Alamo ES,2,GE,GE: General Education,2,2,1,1,,,,,,
413,Alamo ES,2,SA,SA: SDC - Mod/Severe Autism Focus,1,,,,,,,,,
413,Alamo ES,3,GE,GE: General Education,2,1,1,1,,,,1,1,
413,Alamo ES,4,GE,GE: General Education,2,2,2,1,2,,,1,,1
413,Alamo ES,5,GE,GE: General Education,,1,3,,,1,,,1,1
420,Alvarado ES,TK,GE,GE: General Education,90,58,39,19,31,14,3,,3,
420,Alvarado ES,k,GE,GE: General Education,47,72,46,44,44,30,22,20,19,105
420,Alvarado ES,k,MS,MS: SDC - Moderate to Severe,2,1,2,,,,,,,
420,Alvarado ES,k,SE,SE: Spanish Immersion (Non-Native),86,61,54,37,47,20,17,10,6,52
420,Alvarado ES,k,SN,SN: Spanish Immersion (Spanish Speakers),48,28,13,16,4,4,1,2,1,1
420,Alvarado ES,1,GE,GE: General Education,1,2,3,,2,3,1,3,,3
420,Alvarado ES,1,SE,SE: Spanish Immersion (Non-Native),2,6,4,4,2,,1,,1,1
420,Alvarado ES,1,SN,SN: Spanish Immersion (Spanish Speakers),3,2,1,1,,,,,,
420,Alvarado ES,2,GE,GE: General Education,6,5,1,4,1,1,,,,
420,Alvarado ES,2,MS,MS: SDC - Moderate to Severe,,,1,,,,,,,
420,Alvarado ES,2,SN,SN: Spanish Immersion (Spanish Speakers),2,,,,,,,,,
420,Alvarado ES,3,GE,GE: General Education,4,,2,,,1,,,,
420,Alvarado ES,3,SN,SN: Spanish Immersion (Spanish Speakers),1,,,,1,,,,,
420,Alvarado ES,4,GE,GE: General Education,3,2,,,1,,1,,,1
420,Alvarado ES,4,SN,SN: Spanish Immersion (Spanish Speakers),,1,,1,,,,,,
420,Alvarado ES,5,GE,GE: General Education,3,2,2,1,,,,,,
420,Alvarado ES,5,SN,SN: Spanish Immersion (Spanish Speakers),,,,3,1,,,,,
431,Aptos MS,6,GE,GE: General Education,246,246,214,148,118,40,20,12,4,5
431,Aptos MS,6,MM,MM: SDC - Mild to Moderate,4,6,1,,,1,,,,
431,Aptos MS,6,MN,MN: Mandarin Immersion (Mandarin Speakers),44,7,5,5,2,2,1,,,
431,Aptos MS,6,SA,SA: SDC - Mod/Severe Autism Focus,1,,1,1,,,,,,
431,Aptos MS,7,GE,GE: General Education,4,5,3,1,5,,2,1,,
431,Aptos MS,7,MN,MN: Mandarin Immersion (Mandarin Speakers),,1,,,,,,,,
431,Aptos MS,8,GE,GE: General Education,6,2,,5,,,,,,
431,Aptos MS,8,MN,MN: Mandarin Immersion (Mandarin Speakers),,2,,,,,,,,
903,Argonne EES,TK,GE,GE: General Education,78,52,49,49,26,1,1,,4,3
435,Argonne ES,K,AF,AF: SDC - Mild/Mod Autism Focus,3,2,2,4,1,,,,,
435,Argonne ES,K,GE,GE: General Education,55,79,89,70,55,39,35,20,25,174
435,Argonne ES,1,GE,GE: General Education,2,3,3,4,2,1,3,1,4,1
435,Argonne ES,2,GE,GE: General Education,2,1,3,2,2,,1,,,
435,Argonne ES,3,AF,AF: SDC - Mild/Mod Autism Focus,,1,,,,,,,,
435,Argonne ES,3,GE,GE: General Education,2,,3,1,2,,,,1,
435,Argonne ES,4,GE,GE: General Education,,1,3,4,1,,,1,1,1
435,Argonne ES,5,GE,GE: General Education,1,,3,1,1,,,1,,
815,Asawa (Ruth) SOTA HS,9,GE,GE: General Education,236,128,121,107,107,10,10,1,4,5
815,Asawa (Ruth) SOTA HS,9,MM,MM: SDC - Mild to Moderate,,1,,,1,,,,1,
815,Asawa (Ruth) SOTA HS,10,GE,GE: General Education,5,5,3,3,3,,1,,,
815,Asawa (Ruth) SOTA HS,10,MM,MM: SDC - Mild to Moderate,,,,,1,,,,,
815,Asawa (Ruth) SOTA HS,11,GE,GE: General Education,2,2,2,2,4,,,,1,
815,Asawa (Ruth) SOTA HS,12,GE,GE: General Education,,,1,2,,1,,,,
815,Asawa (Ruth) SOTA HS,13,CA,CA: SDC - Transition Program (CAT),,1,,,,,,,,
439,Balboa HS,9,GE,GE: General Education,349,315,357,378,358,103,25,7,2,1
439,Balboa HS,9,MM,MM: SDC - Mild to Moderate,3,3,4,,,2,,1,,
439,Balboa HS,9,MS,MS: SDC - Moderate to Severe,2,5,1,,,,,,,
439,Balboa HS,9,NX,NX: Newcomer Program,3,,,1,,,,,,
439,Balboa HS,10,GE,GE: General Education,7,4,4,8,4,1,,,,
439,Balboa HS,10,NX,NX: Newcomer Program,1,,,,,,,,,
439,Balboa HS,11,GE,GE: General Education,7,7,7,4,2,,,,,1
