School,SchoolCode,Grade,Prg,Total,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice+
Alamo Es,413,K,GEN,828,91,84,71,51,52,43,43,393
Alamo Es,413,K,MS,2,0,0,0,0,2,0,0,0
Alamo Es,413,01,GEN,41,6,7,4,5,2,4,3,10
Alamo Es,413,01,MS,1,0,0,1,0,0,0,0,0
Alamo Es,413,02,GEN,22,4,5,2,1,3,0,1,6
Alamo Es,413,03,GEN,23,5,2,3,1,3,2,1,6
Alamo Es,413,03,MS,1,0,0,1,0,0,0,0,0
Alamo Es,413,04,GEN,22,5,6,2,2,0,1,3,3
Alamo Es,413,05,GEN,15,4,1,2,2,2,1,1,2
Alamo Es,413,05,MS,1,0,1,0,0,0,0,0,0
Alamo Es,413,TOTAL,ALL,956,115,106,86,62,64,51,52,420
Alvarado Es,420,K,GEN,726,54,54,42,58,73,75,58,312
Alvarado Es,420,K,IMMS,580,81,76,61,61,48,35,37,181
Alvarado Es,420,K,MS,3,2,1,0,0,0,0,0,0
Alvarado Es,420,01,GEN,43,7,9,5,8,6,1,0,7
Alvarado Es,420,01,IMMS,27,14,3,1,2,2,2,2,1
Alvarado Es,420,02,GEN,24,4,1,6,3,2,4,2,2
Alvarado Es,420,02,IMMS,4,3,0,1,0,0,0,0,0
Alvarado Es,420,03,GEN,18,0,3,2,2,4,0,1,6
Alvarado Es,420,03,IMMS,2,1,1,0,0,0,0,0,0
Alvarado Es,420,03,MS,1,0,0,0,1,0,0,0,0
Alvarado Es,420,04,GEN,10,2,0,3,2,0,1,1,1
Alvarado Es,420,04,IMMS,9,1,1,1,2,3,1,0,0
Alvarado Es,420,05,GEN,1,0,0,1,0,0,0,0,0
Alvarado Es,420,05,IMMS,2,2,0,0,0,0,0,0,0
Alvarado Es,420,TOTAL,ALL,1450,171,149,123,139,138,119,101,510
Argonne Es,435,K,GEN,894,103,87,69,71,58,48,67,391
Argonne Es,435,01,GEN,37,14,4,4,1,2,2,2,8
Argonne Es,435,02,GEN,25,5,6,1,3,3,0,2,5
Argonne Es,435,03,GEN,23,0,3,4,1,1,2,1,11
Argonne Es,435,04,GEN,15,2,2,2,1,3,1,1,3
Argonne Es,435,05,GEN,10,1,2,1,1,2,1,0,2
Argonne Es,435,TOTAL,ALL,1004,125,104,81,78,69,54,73,420
Argonne Tk,845,TK,GEN,188,68,40,48,16,10,5,0,1
Argonne Tk,845,TOTAL,ALL,188,68,40,48,16,10,5,0,1
Bryant Es,456,K,GEN,99,16,6,7,7,8,5,5,45
Bryant Es,456,K,SPN,89,27,15,22,10,9,2,2,2
Bryant Es,456,01,GEN,1,1,0,0,0,0,0,0,0
Bryant Es,456,01,SPN,2,1,0,0,1,0,0,0,0
Bryant Es,456,02,GEN,1,0,0,0,0,0,0,0,1
Bryant Es,456,02,SPN,1,0,0,1,0,0,0,0,0
Bryant Es,456,03,GEN,3,0,1,0,0,0,0,0,2
Bryant Es,456,03,SPN,1,1,0,0,0,0,0,0,0
Bryant Es,456,04,SPN,2,0,0,0,0,1,1,0,0
Bryant Es,456,05,SPN,1,1,0,0,0,0,0,0,0
Bryant Es,456,TOTAL,ALL,200,47,22,30,18,18,8,7,50
Carver Es,625,K,GEN,64,11,8,2,2,4,1,0,36
Carver Es,625,TOTAL,ALL,64,11,8,2,2,4,1,0,36
Chavez Es,603,K,GEN,95,8,12,12,6,3,6,2,46
Chavez Es,603,K,DT,2,2,0,0,0,0,0,0,0
Chavez Es,603,K,SPN,106,22,25,23,12,12,3,3,6
Chavez Es,603,01,SPN,5,2,1,1,1,0,0,0,0
Chavez Es,603,02,GEN,1,0,0,0,0,0,0,0,1
Chavez Es,603,02,SPN,5,1,0,2,1,0,1,0,0
Chavez Es,603,03,SPN,4,0,1,1,1,1,0,0,0
Chavez Es,603,04,SPN,7,1,2,1,1,1,1,0,0
Chavez Es,603,05,GEN,1,0,0,0,1,0,0,0,0
Chavez Es,603,05,SPN,1,0,1,0,0,0,0,0,0
Chavez Es,603,TOTAL,ALL,227,36,42,40,23,17,11,5,53
Chin Es,872,K,GEN,304,22,39,19,34,12,13,11,154
Chin Es,872,K,CHN,135,47,22,24,8,13,7,2,12
Chin Es,872,01,GEN,8,3,3,1,0,0,0,0,1
Chin Es,872,01,CHN,8,3,2,1,0,1,0,0,1
Chin Es,872,02,GEN,12,3,3,1,1,2,1,0,1
Chin Es,872,02,CHN,11,3,1,4,0,2,0,0,1
Chin Es,872,03,GEN,11,3,2,0,1,1,3,0,1
Chin Es,872,03,CHN,7,1,1,3,0,2,0,0,0
Chin Es,872,04,GEN,12,2,5,1,2,1,0,0,1
Chin Es,872,04,CHN,7,3,1,2,0,0,0,1,0
Chin Es,872,05,GEN,10,3,1,4,1,1,0,0,0
Chin Es,872,TOTAL,ALL,525,93,80,60,47,35,24,14,172
Chinese Ed Ctr Es,476,K,NEWC,1,0,0,0,0,0,0,0,1
Chinese Ed Ctr Es,476,03,NEWC,1,0,1,0,0,0,0,0,0
Chinese Ed Ctr Es,476,TOTAL,ALL,2,0,1,0,0,0,0,0,1
Chinese Immersion Es,509,K,IMMC,461,79,61,41,39,30,20,19,172
Chinese Immersion Es,509,01,IMMC,25,9,4,5,2,1,2,2,0
Chinese Immersion Es,509,03,IMMC,1,1,0,0,0,0,0,0,0
Chinese Immersion Es,509,04,IMMC,1,0,0,0,0,0,0,0,1
Chinese Immersion Es,509,TOTAL,ALL,488,89,65,46,41,31,22,21,173
Clarendon Es,478,K,GEN,1421,187,212,176,175,135,114,105,317
Clarendon Es,478,K,JPN,647,99,115,80,51,65,49,28,160
Clarendon Es,478,K,MM,4,0,1,1,0,0,1,1,0
Clarendon Es,478,01,GEN,93,18,28,14,12,7,6,4,4
Clarendon Es,478,01,JPN,27,10,3,1,5,3,3,0,2
Clarendon Es,478,02,GEN,51,14,10,10,6,4,1,1,5
Clarendon Es,478,02,JPN,9,2,2,0,3,0,2,0,0
Clarendon Es,478,03,GEN,40,7,9,6,9,3,2,1,3
Clarendon Es,478,03,JPN,8,4,1,1,0,0,0,0,2
Clarendon Es,478,04,GEN,28,4,8,4,6,3,0,0,3
Clarendon Es,478,04,JPN,3,2,1,0,0,0,0,0,0
Clarendon Es,478,05,GEN,16,1,3,4,4,3,0,0,1
Clarendon Es,478,05,JPN,3,2,1,0,0,0,0,0,0
Clarendon Es,478,TOTAL,ALL,2350,350,394,297,271,223,178,140,497
Cleveland Es,481,K,GEN,102,8,16,15,11,4,6,1,41
Cleveland Es,481,K,SPN,78,32,14,11,8,6,2,2,3
Cleveland Es,481,01,GEN,1,0,0,0,0,1,0,0,0
Cleveland Es,481,01,SPN,7,2,0,2,3,0,0,0,0
Cleveland Es,481,02,GEN,2,0,0,1,1,0,0,0,0
Cleveland Es,481,02,SPN,1,0,0,1,0,0,0,0,0
Cleveland Es,481,03,GEN,2,1,0,1,0,0,0,0,0
Cleveland Es,481,03,SPN,3,0,1,2,0,0,0,0,0
Cleveland Es,481,04,SPN,1,0,1,0,0,0,0,0,0
Cleveland Es,481,05,GEN,3,0,0,1,2,0,0,0,0
Cleveland Es,481,TOTAL,ALL,200,43,32,34,25,11,8,3,44
Cobb Es,525,K,GEN,105,12,8,8,1,2,4,2,68
Cobb Es,525,01,GEN,1,1,0,0,0,0,0,0,0
Cobb Es,525,TOTAL,ALL,106,13,8,8,1,2,4,2,68
Drew Es,507,K,GEN,94,20,12,13,4,5,4,1,35
Drew Es,507,K,MM,3,0,2,0,1,0,0,0,0
Drew Es,507,01,GEN,2,1,0,1,0,0,0,0,0
Drew Es,507,02,GEN,1,1,0,0,0,0,0,0,0
Drew Es,507,03,GEN,1,1,0,0,0,0,0,0,0
Drew Es,507,04,GEN,1,0,1,0,0,0,0,0,0
Drew Es,507,05,GEN,2,1,1,0,0,0,0,0,0
Drew Es,507,TOTAL,ALL,104,24,16,14,5,5,4,1,35
Drew Tk,849,TK,GEN,31,7,6,4,3,2,0,4,5
Drew Tk,849,TOTAL,ALL,31,7,6,4,3,2,0,4,5
El Dorado Es,521,K,GEN,57,8,5,7,2,3,1,1,30
El Dorado Es,521,03,GEN,1,1,0,0,0,0,0,0,0
El Dorado Es,521,04,GEN,1,0,0,1,0,0,0,0,0
El Dorado Es,521,05,GEN,2,0,2,0,0,0,0,0,0
El Dorado Es,521,05,MM,1,1,0,0,0,0,0,0,0
El Dorado Es,521,TOTAL,ALL,62,10,7,8,2,3,1,1,30
Fairmount Es,537,K,IMMC,1,1,0,0,0,0,0,0,0
Fairmount Es,537,K,IMMS,504,98,76,72,46,33,19,14,146
Fairmount Es,537,K,MS,5,3,1,1,0,0,0,0,0
Fairmount Es,537,01,IMMS,20,5,6,2,1,0,2,0,4
Fairmount Es,537,02,IMMS,7,3,1,2,0,0,1,0,0
Fairmount Es,537,03,IMMS,15,3,2,2,6,1,0,1,0
Fairmount Es,537,04,IMMS,9,2,3,1,0,3,0,0,0
Fairmount Es,537,05,IMMS,2,1,1,0,0,0,0,0,0
Fairmount Es,537,TOTAL,ALL,563,116,90,80,53,37,22,15,150
Feinstein Es,539,K,GEN,743,56,48,54,53,49,36,43,404
Feinstein Es,539,01,GEN,29,5,2,3,1,1,0,2,15
Feinstein Es,539,02,GEN,20,4,3,0,0,1,1,0,11
Feinstein Es,539,03,GEN,20,2,0,3,1,2,2,1,9
Feinstein Es,539,04,GEN,13,3,1,1,2,1,1,0,4
Feinstein Es,539,05,GEN,8,0,1,2,1,1,1,1,1
Feinstein Es,539,TOTAL,ALL,833,70,55,63,58,55,41,47,444
Flynn Es,680,K,GEN,144,15,19,12,7,7,5,4,75
Flynn Es,680,K,IMMS,225,29,27,21,22,20,12,6,88
Flynn Es,680,01,GEN,1,0,0,0,0,1,0,0,0
Flynn Es,680,01,IMMS,5,1,0,0,0,2,1,0,1
Flynn Es,680,02,GEN,1,0,0,0,0,1,0,0,0
Flynn Es,680,02,IMMS,4,0,0,0,2,2,0,0,0
Flynn Es,680,03,GEN,1,0,0,1,0,0,0,0,0
Flynn Es,680,03,IMMS,3,0,2,0,1,0,0,0,0
Flynn Es,680,04,GEN,3,1,0,0,1,1,0,0,0
Flynn Es,680,04,IMMS,10,0,2,5,2,1,0,0,0
Flynn Es,680,TOTAL,ALL,397,46,50,39,35,35,18,10,164
Garfield Es,562,K,GEN,194,3,12,21,13,7,6,5,127
Garfield Es,562,K,IMMC,116,11,4,11,10,8,4,6,62
Garfield Es,562,K,MM,2,1,0,1,0,0,0,0,0
Garfield Es,562,01,GEN,2,1,1,0,0,0,0,0,0
Garfield Es,562,01,IMMC,5,2,0,1,1,0,0,1,0
Garfield Es,562,01,MM,1,1,0,0,0,0,0,0,0
Garfield Es,562,02,GEN,3,0,1,0,0,0,0,0,2
Garfield Es,562,02,IMMC,1,0,0,0,1,0,0,0,0
Garfield Es,562,02,MM,1,0,0,0,1,0,0,0,0
