SchoolName,idSchool,Grade,Program,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice+,Grand Total
Alamo ES,413,KG,GE,84,94,87,69,64,48,49.0,731.0,1226.0
Alamo ES,413,KG,SA,0,1,0,0,0,0,0.0,0.0,1.0
Alamo ES,413,1,GE,84,7,5,3,1,1,1.0,18.0,120.0
Alamo ES,413,1,SA,1,0,0,0,0,0,0.0,0.0,1.0
Alamo ES,413,2,GE,86,1,1,1,2,1,0.0,11.0,103.0
Alamo ES,413,2,SA,3,0,0,0,0,0,0.0,0.0,3.0
Alamo ES,413,3,GE,88,5,2,4,1,3,1.0,6.0,110.0
Alamo ES,413,3,SA,4,0,0,0,0,0,0.0,0.0,4.0
Alamo ES,413,4,GE,87,2,1,0,0,1,1.0,4.0,96.0
Alamo ES,413,4,SA,1,0,0,0,0,0,0.0,0.0,1.0
Alamo ES,413,5,GE,90,2,0,3,0,0,1.0,3.0,99.0
Alamo ES,413,5,SA,2,0,0,0,0,0,0.0,0.0,2.0
Alvarado ES,420,TK,GE,109,27,36,14,17,8,6.0,4.0,221.0
Alvarado ES,420,KG,GE,59,75,53,56,46,50,50.0,606.0,995.0
Alvarado ES,420,KG,MS,1,1,0,0,0,0,0.0,0.0,2.0
Alvarado ES,420,KG,SE,68,54,52,40,43,29,24.0,342.0,652.0
Alvarado ES,420,KG,SN,47,18,18,10,8,4,2.0,9.0,116.0
Alvarado ES,420,1,GE,42,7,4,6,3,1,2.0,15.0,80.0
Alvarado ES,420,1,MS,4,0,0,0,0,0,0.0,0.0,4.0
Alvarado ES,420,1,SE,24,4,1,1,0,0,1.0,8.0,39.0
Alvarado ES,420,1,SN,32,2,2,0,0,0,0.0,0.0,36.0
Alvarado ES,420,2,GE,46,1,1,2,2,1,3.0,6.0,62.0
Alvarado ES,420,2,MS,2,0,0,0,0,0,0.0,0.0,2.0
Alvarado ES,420,2,SN,44,0,0,0,0,0,0.0,1.0,45.0
Alvarado ES,420,3,GE,44,5,2,2,1,1,1.0,7.0,63.0
Alvarado ES,420,3,MS,0,1,0,0,0,0,0.0,0.0,1.0
Alvarado ES,420,3,SN,46,1,1,0,0,0,0.0,0.0,48.0
Alvarado ES,420,4,GE,41,2,0,1,1,0,1.0,2.0,48.0
Alvarado ES,420,4,MS,2,0,0,0,0,0,0.0,0.0,2.0
Alvarado ES,420,4,SN,44,0,2,1,0,0,0.0,0.0,47.0
Alvarado ES,420,5,GE,43,3,1,0,1,1,0.0,1.0,50.0
Alvarado ES,420,5,MS,2,0,0,0,0,0,0.0,0.0,2.0
Alvarado ES,420,5,SN,42,1,1,0,0,0,0.0,0.0,44.0
Aptos MS,431,6,GE,385,290,214,115,56,30,9.0,11.0,1110.0
Aptos MS,431,6,MM,5,6,2,0,0,0,0.0,0.0,13.0
Aptos MS,431,6,MN,49,6,6,4,2,0,1.0,0.0,68.0
Aptos MS,431,6,SA,2,4,2,0,0,0,0.0,0.0,8.0
Aptos MS,431,7,GE,255,4,6,3,3,1,0.0,1.0,273.0
Aptos MS,431,7,MM,3,0,0,0,0,0,0.0,0.0,3.0
Aptos MS,431,7,MN,49,0,0,0,0,0,0.0,0.0,49.0
Aptos MS,431,7,SA,1,0,0,0,0,0,0.0,0.0,1.0
Aptos MS,431,8,GE,254,4,5,2,2,1,1.0,1.0,270.0
Aptos MS,431,8,MM,12,1,0,0,0,0,0.0,0.0,13.0
Aptos MS,431,8,MN,68,2,0,0,0,0,0.0,0.0,70.0
Aptos MS,431,8,SA,2,0,0,0,0,0,0.0,0.0,2.0
Argonne ES,435,KG,GE,97,85,78,81,72,69,51.0,742.0,1275.0
Argonne ES,435,1,GE,68,1,6,2,4,0,4.0,17.0,102.0
Argonne ES,435,2,GE,83,1,2,1,3,0,3.0,12.0,105.0
Argonne ES,435,3,GE,72,5,4,0,2,3,1.0,8.0,95.0
Argonne ES,435,4,GE,84,4,2,1,1,0,1.0,3.0,96.0
Argonne ES,435,5,GE,63,0,2,0,2,0,1.0,2.0,70.0
Argonne TK,903,TK,GE,66,73,24,13,7,10,8.0,6.0,207.0
Asawa (Ruth) SOTA HS,815,9,GE,113,5,4,5,3,0,1.0,0.0,131.0
Asawa (Ruth) SOTA HS,815,9,MM,0,2,2,0,1,0,0.0,0.0,5.0
