School,Grade,Program,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6-10 Choice,11-24 Choice,25+ Choice,Total
Alamo ES,K,General Education,93,74,69,67,69,235,231,25,863
Alamo ES,K,Severely Autistic,2,0,0,0,0,0,0,0,2
Alvarado ES,TK,General Education,122,35,24,22,10,7,0,0,220
Alvarado ES,K,General Education,47,83,60,56,65,204,140,38,693
Alvarado ES,K,Spanish Non-Native,93,53,57,49,35,96,82,23,488
Alvarado ES,K,Spanish Native,49,20,11,8,4,9,1,0,102
Alvarado ES,K,Moderate Severe,3,1,0,0,0,0,0,0,4
Aptos MS,6,General Education,417,307,187,112,52,55,4,0,1134
Aptos MS,6,Mandarin Native,62,7,6,2,1,2,1,0,81
Aptos MS,6,Mild Moderate,2,2,1,0,0,0,0,0,5
Aptos MS,6,Severely Autistic,1,2,0,0,0,0,0,0,3
Argonne ES,K,General Education,85,72,65,58,72,249,252,24,877
Balboa HS,9,General Education,349,415,443,366,218,156,2,0,1949
Balboa HS,9,Mild Moderate,4,3,2,0,0,0,0,0,9
Balboa HS,9,Newcomer,5,4,2,0,0,0,0,0,11
Balboa HS,9,Moderate Severe,3,1,1,0,0,0,0,0,5
Brown Jr. (Willie) MS,6,General Education,38,26,27,14,4,3,5,0,117
Bryant ES,K,General Education,13,13,9,7,3,11,6,32,94
Bryant ES,K,Spanish Bilingual,15,15,13,17,4,11,2,0,77
Buena Vista Horace Mann,K,Spanish Non-Native,34,28,31,22,14,38,47,28,242
Buena Vista Horace Mann,K,K-8 Spanish Native,51,26,17,8,8,9,8,0,127
Buena Vista Horace Mann,K,Mild Moderate,1,0,0,0,0,0,0,0,1
Buena Vista Horace Mann,6,Spanish Native,28,30,16,4,5,3,2,0,88
Burton (Phillip and Sala),9,General Education,116,175,169,83,77,115,4,0,739
Burton (Phillip and Sala),9,HS Mild Moderate,3,1,2,0,0,0,0,0,6
Burton (Phillip and Sala),9,Moderate Severe,1,0,0,0,0,0,0,0,1
Carmichael (Bessie) K-8,TK,General Education,15,3,8,6,5,15,4,0,56
Carmichael (Bessie) K-8,K,General Education,33,19,10,5,3,12,14,28,124
Carmichael (Bessie) K-8,K,Filipino Bilingual,9,1,1,1,3,3,6,0,24
Carmichael (Bessie) K-8,6,General Education,12,4,2,3,4,8,0,0,33
Carver (Dr George W) ES,K,General Education,1,4,4,1,1,1,3,26,41
Chavez (Cesar) ES,K,General Education,17,12,10,8,9,8,16,31,111
Chavez (Cesar) ES,K,Spanish Bilingual,20,28,25,8,8,8,2,0,99
Chin (John Yehall) ES,K,General Education,17,42,12,31,18,51,58,43,272
Chin (John Yehall) ES,K,Chinese Biliteracy,41,21,27,9,12,18,10,1,139
Chinese Immersion School,K,Chinese Non-Native Speakers,43,36,28,24,28,76,96,26,357
Chinese Immersion School,K,at DeAvila ES Chinese Native Speaker,33,28,11,7,11,25,19,0,134
Clarendon ES,K,General Education,116,151,166,123,119,432,216,1,1324
Clarendon ES,K,Japanese Non-Native Cohort,77,80,65,56,40,133,71,3,525
Clarendon ES,K,Mild Moderate,7,4,5,0,0,0,0,0,16
