school_id,program_code,grade,num_requests,choice_min,choice_max,ay
441,BA,13,0,1,1.0,25-26
441,CA,13,1,1,1.0,25-26
442,CA,13,4,1,1.0,25-26
413,GE,TK,40,1,1.0,25-26
413,GE,K,50,1,1.0,25-26
413,GE,1,3,1,1.0,25-26
413,GE,2,6,1,1.0,25-26
413,GE,3,2,1,1.0,25-26
413,GE,4,1,1,1.0,25-26
413,GE,5,0,1,1.0,25-26
413,SA,TK,1,1,1.0,25-26
413,SA,K,3,1,1.0,25-26
413,SA,1,1,1,1.0,25-26
413,SA,2,0,1,1.0,25-26
420,GE,TK,99,1,1.0,25-26
420,GE,K,43,1,1.0,25-26
420,GE,1,7,1,1.0,25-26
420,GE,2,3,1,1.0,25-26
420,GE,3,2,1,1.0,25-26
420,GE,4,2,1,1.0,25-26
420,GE,5,2,1,1.0,25-26
420,MS,K,5,1,1.0,25-26
420,MS,2,1,1,1.0,25-26
420,MS,3,0,1,1.0,25-26
420,SE,K,60,1,1.0,25-26
420,SE,1,9,1,1.0,25-26
420,SN,K,42,1,1.0,25-26
420,SN,1,9,1,1.0,25-26
420,SN,2,3,1,1.0,25-26
420,SN,3,2,1,1.0,25-26
420,SN,4,3,1,1.0,25-26
420,SN,5,0,1,1.0,25-26
431,GE,6,282,1,1.0,25-26
431,GE,7,8,1,1.0,25-26
431,GE,8,2,1,1.0,25-26
431,MM,6,4,1,1.0,25-26
431,MN,6,41,1,1.0,25-26
431,MN,7,2,1,1.0,25-26
431,MN,8,0,1,1.0,25-26
431,SA,6,1,1,1.0,25-26
903,GE,TK,41,1,1.0,25-26
435,AF,K,1,1,1.0,25-26
435,AF,1,3,1,1.0,25-26
435,GE,TK,29,1,1.0,25-26
435,GE,K,43,1,1.0,25-26
435,GE,1,0,1,1.0,25-26
435,GE,2,5,1,1.0,25-26
435,GE,3,2,1,1.0,25-26
435,GE,4,0,1,1.0,25-26
435,GE,5,0,1,1.0,25-26
815,CA,13,0,1,1.0,25-26
815,GE,9,379,1,1.0,25-26
815,GE,10,20,1,1.0,25-26
815,GE,11,7,1,1.0,25-26
815,GE,12,0,1,1.0,25-26
815,MM,9,4,1,1.0,25-26
815,MM,10,0,1,1.0,25-26
439,CA,13,7,1,1.0,25-26
439,GE,9,307,1,1.0,25-26
439,GE,10,7,1,1.0,25-26
439,GE,11,7,1,1.0,25-26
439,GE,12,3,1,1.0,25-26
439,MM,9,11,1,1.0,25-26
439,MM,12,0,1,1.0,25-26
439,MS,9,1,1,1.0,25-26
858,GE,6,111,1,1.0,25-26
858,GE,7,7,1,1.0,25-26
858,GE,8,0,1,1.0,25-26
858,MM,6,0,1,1.0,25-26
456,GE,TK,6,1,1.0,25-26
456,GE,K,4,1,1.0,25-26
456,GE,1,1,1,1.0,25-26
456,GE,2,0,1,1.0,25-26
456,GE,5,0,1,1.0,25-26
456,SB,TK,3,1,1.0,25-26
456,SB,K,17,1,1.0,25-26
456,SB,2,3,1,1.0,25-26
456,SB,3,1,1,1.0,25-26
456,SB,4,2,1,1.0,25-26
618,MM,K,0,1,1.0,25-26
618,MM,1,1,1,1.0,25-26
618,SE,K,16,1,1.0,25-26
618,SE,1,1,1,1.0,25-26
618,SN,K,15,1,1.0,25-26
618,SN,1,2,1,1.0,25-26
618,SN,2,3,1,1.0,25-26
618,SN,3,6,1,1.0,25-26
618,SN,4,4,1,1.0,25-26
618,SN,5,6,1,1.0,25-26
618,SN,6,55,1,1.0,25-26
618,SN,7,1,1,1.0,25-26
618,SN,8,1,1,1.0,25-26
764,CA,13,4,1,1.0,25-26
764,GE,9,146,1,1.0,25-26
764,GE,10,2,1,1.0,25-26
764,GE,11,2,1,1.0,25-26
764,GE,12,0,1,1.0,25-26
764,MM,9,6,1,1.0,25-26
764,MM,12,0,1,1.0,25-26
764,MS,9,2,1,1.0,25-26
449,FB,K,8,1,1.0,25-26
449,FB,4,1,1,1.0,25-26
449,GE,TK,23,1,1.0,25-26
449,GE,K,19,1,1.0,25-26
449,GE,1,1,1,1.0,25-26
449,GE,2,3,1,1.0,25-26
449,GE,4,4,1,1.0,25-26
449,GE,5,1,1,1.0,25-26
449,GE,6,18,1,1.0,25-26
449,GE,7,0,1,1.0,25-26
449,GE,8,1,1,1.0,25-26
625,GE,TK,4,1,1.0,25-26
625,GE,K,12,1,1.0,25-26
625,GE,1,0,1,1.0,25-26
625,GE,4,0,1,1.0,25-26
603,GE,TK,11,1,1.0,25-26
603,GE,K,5,1,1.0,25-26
603,GE,1,2,1,1.0,25-26
603,GE,2,1,1,1.0,25-26
603,GE,4,0,1,1.0,25-26
603,GE,5,1,1,1.0,25-26
603,SB,K,28,1,1.0,25-26
603,SB,1,0,1,1.0,25-26
603,SB,2,1,1,1.0,25-26
603,SB,3,0,1,1.0,25-26
603,SB,4,1,1,1.0,25-26
603,SB,5,1,1,1.0,25-26
872,GE,K,33,1,1.0,25-26
872,GE,1,1,1,1.0,25-26
872,GE,2,1,1,1.0,25-26
872,GE,3,1,1,1.0,25-26
