school_id,program_code,application_year,grade,choice_lower,choice_upper,requests
441,CA,2022,13,1,1,4
442,CA,2022,13,1,1,5
413,GE,2022,K,1,1,50
413,GE,2022,1,1,1,3
413,GE,2022,2,1,1,2
413,SA,2022,2,1,1,1
413,GE,2022,3,1,1,2
413,GE,2022,4,1,1,2
420,GE,2022,TK,1,1,90
420,GE,2022,K,1,1,47
420,MS,2022,K,1,1,2
420,SE,2022,K,1,1,86
420,SN,2022,K,1,1,48
420,GE,2022,1,1,1,1
420,SE,2022,1,1,1,2
420,SN,2022,1,1,1,3
420,GE,2022,2,1,1,6
420,SN,2022,2,1,1,2
420,GE,2022,3,1,1,4
420,SN,2022,3,1,1,1
420,GE,2022,4,1,1,3
420,GE,2022,5,1,1,3
431,GE,2022,6,1,1,246
431,MM,2022,6,1,1,4
431,MN,2022,6,1,1,44
431,SA,2022,6,1,1,1
431,GE,2022,7,1,1,4
431,GE,2022,8,1,1,6
903,GE,2022,TK,1,1,78
435,AF,2022,K,1,1,3
435,GE,2022,K,1,1,55
435,GE,2022,1,1,1,2
435,GE,2022,2,1,1,2
435,GE,2022,3,1,1,2
435,GE,2022,5,1,1,1
815,GE,2022,9,1,1,236
815,GE,2022,10,1,1,5
815,GE,2022,11,1,1,2
439,GE,2022,9,1,1,349
439,MM,2022,9,1,1,3
439,MS,2022,9,1,1,2
439,NX,2022,9,1,1,3
439,GE,2022,10,1,1,7
439,NX,2022,10,1,1,1
439,GE,2022,11,1,1,7
439,GE,2022,12,1,1,5
439,CA,2022,13,1,1,7
858,GE,2022,6,1,1,126
456,GE,2022,K,1,1,16
456,SB,2022,K,1,1,16
456,GE,2022,1,1,1,1
456,SB,2022,1,1,1,1
618,MM,2022,K,1,1,4
618,SE,2022,K,1,1,44
618,SN,2022,K,1,1,50
618,SE,2022,1,1,1,3
618,SN,2022,1,1,1,1
618,SN,2022,2,1,1,2
618,SN,2022,3,1,1,3
618,SN,2022,4,1,1,4
618,SN,2022,5,1,1,6
618,SN,2022,6,1,1,59
618,SN,2022,7,1,1,2
618,SN,2022,8,1,1,1
764,GE,2022,9,1,1,212
764,MM,2022,9,1,1,2
764,GE,2022,11,1,1,3
764,CA,2022,13,1,1,3
449,GE,2022,TK,1,1,20
449,FB,2022,K,1,1,6
449,GE,2022,K,1,1,38
449,FB,2022,1,1,1,1
449,GE,2022,2,1,1,2
449,GE,2022,4,1,1,2
449,GE,2022,6,1,1,17
449,GE,2022,8,1,1,1
625,GE,2022,K,1,1,8
603,GE,2022,K,1,1,13
603,SB,2022,K,1,1,21
603,GE,2022,2,1,1,1
872,CB,2022,K,1,1,25
872,GE,2022,K,1,1,17
872,CB,2022,2,1,1,1
872,GE,2022,2,1,1,1
872,GE,2022,3,1,1,1
872,GE,2022,4,1,1,3
509,CE,2022,K,1,1,54
509,CN,2022,K,1,1,32
509,CE,2022,1,1,1,6
509,CN,2022,1,1,1,2
478,GE,2022,K,1,1,92
478,JE,2022,K,1,1,58
478,JN,2022,K,1,1,12
478,MM,2022,K,1,1,2
478,GE,2022,1,1,1,7
478,JB,2022,1,1,1,3
478,GE,2022,2,1,1,2
478,JB,2022,2,1,1,3
478,GE,2022,3,1,1,3
478,JB,2022,3,1,1,1
478,GE,2022,4,1,1,3
478,JB,2022,4,1,1,1
478,GE,2022,5,1,1,1
481,GE,2022,K,1,1,7
481,SB,2022,K,1,1,15
481,GE,2022,1,1,1,1
525,GE,2022,TK,1,1,8
525,GE,2022,K,1,1,23
632,AF,2022,6,1,1,3
632,GE,2022,6,1,1,231
632,MM,2022,6,1,1,2
632,MS,2022,6,1,1,3
632,GE,2022,7,1,1,3
632,GE,2022,8,1,1,2
507,GE,2022,TK,1,1,16
507,GE,2022,K,1,1,30
521,GE,2022,TK,1,1,6
521,GE,2022,K,1,1,4
529,AF,2022,6,1,1,2
529,GE,2022,6,1,1,105
529,MM,2022,6,1,1,4
529,NX,2022,6,1,1,5
529,SN,2022,6,1,1,54
529,GE,2022,8,1,1,2
529,NX,2022,8,1,1,1
539,GE,2022,K,1,1,30
539,GE,2022,1,1,1,1
539,GE,2022,2,1,1,1
539,ED,2022,3,1,1,1
539,GE,2022,3,1,1,2
680,GE,2022,TK,1,1,23
680,GE,2022,K,1,1,20
680,SE,2022,K,1,1,20
680,SN,2022,K,1,1,18
680,SE,2022,1,1,1,2
680,SN,2022,1,1,1,1
680,GE,2022,2,1,1,2
680,ED,2022,4,1,1,1
680,SN,2022,5,1,1,1
546,ED,2022,6,1,1,1
546,GE,2022,6,1,1,140
546,MM,2022,6,1,1,1
546,NX,2022,6,1,1,13
546,SA,2022,6,1,1,2
546,GE,2022,7,1,1,1
546,NX,2022,7,1,1,1
546,GE,2022,8,1,1,2
546,NX,2022,8,1,1,3
559,ED,2022,9,1,1,1
559,GE,2022,9,1,1,368
559,MM,2022,9,1,1,5
559,MS,2022,9,1,1,1
559,NX,2022,9,1,1,16
559,GE,2022,10,1,1,2
559,NX,2022,10,1,1,2
559,GE,2022,11,1,1,6
559,GE,2022,12,1,1,3
559,CA,2022,13,1,1,4
562,AF,2022,K,1,1,5
562,CE,2022,K,1,1,9
562,CN,2022,K,1,1,3
562,GE,2022,K,1,1,10
562,GE,2022,1,1,1,1
562,GE,2022,3,1,1,1
562,GE,2022,4,1,1,1
404,AF,2022,6,1,1,5
404,GE,2022,6,1,1,545
404,MM,2022,6,1,1,11
404,MS,2022,6,1,1,6
404,SA,2022,6,1,1,1
404,GE,2022,7,1,1,10
404,GE,2022,8,1,1,9
