ay,school_id,program_code,program_name
25-26,441,BA,Bay Street Transition Program
25-26,441,CA,SDC Transition Program (CAT)
25-26,442,CA,SDC Transition Program (CAT)
25-26,413,GE,GE: General Education
25-26,413,SA,SA: SDC - Extensive Services Autism Focus
25-26,420,GE,GE: General Education
25-26,420,MS,MS: SDC - Extensive Services
25-26,420,SE,SE: Spanish Immersion (Non-Native)
25-26,420,SN,SN: Spanish Immersion (Spanish Speakers)
25-26,431,GE,GE: General Education
25-26,431,MM,MM: SDC - Mild to Moderate
25-26,431,MN,MN: Mandarin Immersion (Mandarin Speakers)
25-26,431,SA,SA: SDC - Extensive Services Autism Focus
25-26,903,GE,GE: General Education
25-26,435,AF,AF: SDC - Mild/Mod Autism Focus
25-26,435,GE,GE: General Education
25-26,815,CA,SDC Transition Program (CAT)
25-26,815,GE,GE: General Education
25-26,815,MM,MM: SDC - Mild to Moderate
25-26,439,CA,SDC Transition Program (CAT)
25-26,439,GE,GE: General Education
25-26,439,MM,MM: SDC - Mild to Moderate
25-26,439,MM,SDC Transition Program (CAT)
25-26,439,MS,MS: SDC - Extensive Services
25-26,858,GE,GE: General Education
25-26,858,MM,MM: SDC - Mild to Moderate
25-26,456,GE,GE: General Education
25-26,456,GE,SDC Transition Program (CAT)
25-26,456,SB,SB: Spanish Biliteracy
25-26,618,MM,MM: SDC - Mild to Moderate
25-26,618,SE,SE: Spanish Immersion (Non-Native)
25-26,618,SN,SN: Spanish Immersion (Spanish Speakers)
25-26,764,CA,SDC Transition Program (CAT)
25-26,764,GE,GE: General Education
25-26,764,MM,MM: SDC - Mild to Moderate
25-26,764,MS,MS: SDC - Extensive Services
25-26,449,FB,FB: Filipino FLES
25-26,449,GE,GE: General Education
25-26,625,GE,GE: General Education
25-26,603,GE,GE: General Education
25-26,603,SB,SB: Spanish Biliteracy
25-26,872,GE,GE: General Education
25-26,872,GE,SDC Transition Program (CAT)
25-26,509,CE,CE: Cantonese Immersion (All English)
25-26,509,CN,CN: Cantonese Immersion (Cantonese Speakers)
25-26,478,GE,GE: General Education
25-26,478,JB,JB: Japanese Bilingual Bicultural Prgram
25-26,478,JE,JE: Japanese Bilingual Bicultural Program - English C
25-26,478,JN,JN: Japanese Bilingual Bicultural Program - Japanes
