school_id,school_name
441,Access SFUSD: Bay Street
442,Access SFUSD: The Arc
413,Alamo ES
420,Alvarado ES
431,Aptos MS
903,Argonne EES
435,Argonne ES
815,Asawa (Ruth) SOTA HS
439,Balboa HS
858,Brown Jr. (Willie) MS
456,Bryant ES
618,Buena Vista Horace Mann K-8
764,Burton (Phillip and Sala) HS
449,Carmichael (Bessie) K-8
625,Carver (Dr George W) ES
603,Chavez (Cesar) ES
872,Chin (John Yehall) ES
509,Chinese Immersion School at DeAvila ES
478,Clarendon ES
481,Cleveland ES
525,Cobb (Dr William L) ES
632,Denman (James) MS
507,Drew (Dr Charles) College Preparatory Academy ES
521,El Dorado ES
529,Everett MS
539,Feinstein (Dianne) ES
680,Flynn (Leonard R) ES
546,Francisco MS
559,Galileo HS
562,Garfield ES
404,Giannini (A.P.) MS
575,Glen Park ES
589,Grattan ES
593,Guadalupe ES
453,Harte (Bret) ES
614,Hillcrest ES
607,Hoover (Herbert) MS
537,Huerta (Dolores) ES
644,Jefferson ES
757,Jordan (June) HS
544,Key (Francis Scott) ES
838,King (Thomas Starr) ES
710,King Jr (Dr Martin L) MS
664,Lafayette ES
670,Lakeshore ES
490,Lau (Gordon J) ES
676,Lawton K-8
634,Lick (James) MS
479,Lilienthal (Claire) K-8
405,Lincoln (Abraham) HS
691,Longfellow ES
697,Lowell HS
830,Malcolm X Academy ES
708,Marina MS
853,Marshall (Thurgood) HS
714,Marshall ES
549,McCoppin (Frank) ES
718,McKinley ES
950,McLaren (John) EES
505,Milk (Harvey) Civil Right ES
722,Miraloma ES
724,Mission Education Center ES
725,Mission HS
729,Monroe ES
723,Moscone (George R) ES
650,Muir (John) ES
735,New Traditions ES
928,Noriega EES
651,O'Connell (John) HS
746,Ortega (Jose) ES
638,Parker (Jean) ES
786,Parks (Rosa) ES
569,Peabody (George) ES
778,Presidio MS
790,Redding ES
760,Revere (Paul) K-8
965,Rodriguez (Zaida T) EES
796,Rooftop K-8
797,Roosevelt MS
987,San Miguel EES
816,Sanchez ES
955,Serra (Junipero) Annex EES
656,Serra (Junipero) ES
493,SF Community K-8
621,SF International HS
814,SF Public Montessori ES
820,Sheridan ES
823,Sherman ES
488,Sloat (Commodore) ES
834,Spring Valley Science ES
782,Stevenson (Robert Louis) ES
915,Stockton (Commodore) EES
842,Sunnyside ES
750,Sunset ES
848,Sutro ES
513,Taylor (Edward R) ES
859,Tenderloin Community ES
832,The Academy - SF @ McAteer HS
997,Tule Elk Park EES
862,Ulloa ES
867,Visitacion Valley ES
868,Visitacion Valley MS
785,Wallenberg (Raoul) HS
571,Washington (George) HS
497,Webster (Daniel) ES
876,West Portal ES
801,Wo (Yick) ES
485,Yu (Alice Fong) K-8
476,Lee (Edwin and Anita) Newcomer ES
975,Presidio EES
466,Independence HS
844,Alvarado Tk
845,Argonne Tk
883,Carmichael Tk
849,Drew Tk
880,Flynn Tk
705,Harte Tk
704,McLaren Tk
752,Noriega Tk
875,Presidio Tk
890,Redding Tk
895,Rodriguez Tk
879,Serra Annex Tk
884,Sheridan Tk
882,Stevenson Tk
874,Stockton Tk
860,Tule Elk Park Tk
865,Havard Tk
706,Tenderloin Tk
881,Ulloa Tk
624,Int'L Studies Acad
