school_id,school_name
404,Giannini (A.P.) MS
405,Lincoln (Abraham) HS
413,Alamo ES
420,Alvarado ES
431,Aptos MS
435,Argonne ES
439,Balboa HS
441,Access SFUSD: Bay Street
442,Access SFUSD: The Arc
449,Carmichael (Bessie) K-8
453,Harte (Bret) ES
456,Bryant ES
466,Independence HS
476,Lee (Edwin and Anita) Newcomer ES
478,Clarendon ES
479,Lilienthal (Claire) K-8
481,Cleveland ES
485,Yu (Alice Fong) K-8
488,Sloat (Commodore) ES
490,Lau (Gordon J) ES
493,SF Community K-8
497,Webster (Daniel) ES
505,Milk (Harvey) Civil Right ES
507,Drew (Dr Charles) College Preparatory Academy ES
509,Chinese Immersion School at DeAvila ES
513,Taylor (Edward R) ES
521,El Dorado ES
525,Cobb (Dr William L) ES
529,Everett MS
537,Huerta (Dolores) ES
539,Feinstein (Dianne) ES
544,Key (Francis Scott) ES
546,Francisco MS
549,McCoppin (Frank) ES
559,Galileo HS
562,Garfield ES
569,Peabody (George) ES
571,Washington (George) HS
575,Glen Park ES
589,Grattan ES
593,Guadalupe ES
603,Chavez (Cesar) ES
607,Hoover (Herbert) MS
614,Hillcrest ES
618,Buena Vista Horace Mann K-8
621,SF International HS
625,Carver (Dr George W) ES
632,Denman (James) MS
634,Lick (James) MS
638,Parker (Jean) ES
644,Jefferson ES
650,Muir (John) ES
651,O'Connell (John) HS
656,Serra (Junipero) ES
664,Lafayette ES
670,Lakeshore ES
676,Lawton K-8
680,Flynn (Leonard R) ES
691,Longfellow ES
697,Lowell HS
708,Marina MS
710,King Jr (Dr Martin L) MS
714,Marshall ES
718,McKinley ES
722,Miraloma ES
723,Moscone (George R) ES
724,Mission Education Center ES
725,Mission HS
729,Monroe ES
735,New Traditions ES
746,Ortega (Jose) ES
750,Sunset ES
757,Jordan (June) HS
760,Revere (Paul) K-8
764,Burton (Phillip and Sala) HS
778,Presidio MS
782,Stevenson (Robert Louis) ES
785,Wallenberg (Raoul) HS
786,Parks (Rosa) ES
790,Redding ES
796,Rooftop K-8
797,Roosevelt MS
801,Wo (Yick) ES
814,SF Public Montessori ES
815,Asawa (Ruth) SOTA HS
816,Sanchez ES
820,Sheridan ES
823,Sherman ES
830,Malcolm X Academy ES
832,The Academy - SF @ McAteer HS
834,Spring Valley Science ES
838,King (Thomas Starr) ES
842,Sunnyside ES
848,Sutro ES
853,Marshall (Thurgood) HS
858,Brown Jr. (Willie) MS
859,Tenderloin Community ES
862,Ulloa ES
867,Visitacion Valley ES
868,Visitacion Valley MS
872,Chin (John Yehall) ES
876,West Portal ES
903,Argonne EES
915,Stockton (Commodore) EES
928,Noriega EES
950,McLaren (John) EES
955,Serra (Junipero) Annex EES
965,Rodriguez (Zaida T) EES
975,Presidio EES
997,Tule Elk Park EES
