facility_id,report_path,report_date,capacity,total_enrolled,method,snippet
380500086,data/ccld-reports/380500086/report-0.html,2022-04-06,68,68,table,TOTAL ENROLLED CHILDREN: 68
380500086,data/ccld-reports/380500086/report-1.html,2023-04-24,116,116,table,TOTAL ENROLLED CHILDREN: 116
380500086,data/ccld-reports/380500086/report-2.html,2023-10-12,116,116,table,TOTAL ENROLLED CHILDREN: 116
380500086,data/ccld-reports/380500086/report-3.html,2024-06-20,83,83,table,TOTAL ENROLLED CHILDREN: 83
380500086,data/ccld-reports/380500086/report-4.html,2024-07-11,116,116,table,TOTAL ENROLLED CHILDREN: 116
380500099,data/ccld-reports/380500099/report-0.html,2023-05-17,75,75,table,TOTAL ENROLLED CHILDREN: 75
380500099,data/ccld-reports/380500099/report-1.html,2024-05-28,51,51,table,TOTAL ENROLLED CHILDREN: 51
380500099,data/ccld-reports/380500099/report-2.html,2025-04-24,56,56,table,TOTAL ENROLLED CHILDREN: 56
380500240,data/ccld-reports/380500240/report-0.html,2022-01-19,45,45,table,TOTAL ENROLLED CHILDREN: 45
380500240,data/ccld-reports/380500240/report-1.html,2023-01-18,39,39,table,TOTAL ENROLLED CHILDREN: 39
380500240,data/ccld-reports/380500240/report-2.html,2023-10-26,25,25,table,TOTAL ENROLLED CHILDREN: 25
380500240,data/ccld-reports/380500240/report-3.html,2024-10-09,39,39,table,TOTAL ENROLLED CHILDREN: 39
380500240,data/ccld-reports/380500240/report-4.html,2025-10-16,25,25,table,TOTAL ENROLLED CHILDREN: 25
380500240,data/ccld-reports/380500240/report-5.html,2025-10-29,25,25,table,TOTAL ENROLLED CHILDREN: 25
380500254,data/ccld-reports/380500254/report-0.html,2023-02-10,24,,table,24
380500254,data/ccld-reports/380500254/report-1.html,2023-02-10,24,24,table,TOTAL ENROLLED CHILDREN: 24
380500254,data/ccld-reports/380500254/report-2.html,2023-02-10,24,24,table,TOTAL ENROLLED CHILDREN: 24
380500254,data/ccld-reports/380500254/report-3.html,2024-03-28,12,12,table,TOTAL ENROLLED CHILDREN: 12
380500308,data/ccld-reports/380500308/report-0.html,2024-01-04,150,,table,150
380500308,data/ccld-reports/380500308/report-1.html,2025-07-16,150,,table,150
380500308,data/ccld-reports/380500308/report-2.html,2025-08-08,150,,table,150
380500308,data/ccld-reports/380500308/report-3.html,2022-02-25,86,86,table,TOTAL ENROLLED CHILDREN: 86
380500308,data/ccld-reports/380500308/report-4.html,2022-11-09,114,114,table,TOTAL ENROLLED CHILDREN: 114
380500308,data/ccld-reports/380500308/report-5.html,2024-04-05,81,81,table,TOTAL ENROLLED CHILDREN: 81
380500308,data/ccld-reports/380500308/report-6.html,2024-12-16,117,117,table,TOTAL ENROLLED CHILDREN: 117
380500308,data/ccld-reports/380500308/report-7.html,2025-05-30,117,117,table,TOTAL ENROLLED CHILDREN: 117
380500308,data/ccld-reports/380500308/report-8.html,2025-10-29,150,150,table,TOTAL ENROLLED CHILDREN: 150
380500371,data/ccld-reports/380500371/report-0.html,2023-11-08,75,,table,75
380500371,data/ccld-reports/380500371/report-1.html,2023-08-24,75,75,table,TOTAL ENROLLED CHILDREN: 75
380500371,data/ccld-reports/380500371/report-2.html,2024-09-17,75,75,table,TOTAL ENROLLED CHILDREN: 75
380500487,data/ccld-reports/380500487/report-0.html,2022-06-15,35,35,table,TOTAL ENROLLED CHILDREN: 35
380500487,data/ccld-reports/380500487/report-1.html,2022-09-30,35,35,table,TOTAL ENROLLED CHILDREN: 35
380500487,data/ccld-reports/380500487/report-2.html,2023-06-29,35,35,table,TOTAL ENROLLED CHILDREN: 35
380500487,data/ccld-reports/380500487/report-3.html,2023-10-27,35,35,table,TOTAL ENROLLED CHILDREN: 35
380500487,data/ccld-reports/380500487/report-4.html,2024-08-29,38,38,table,TOTAL ENROLLED CHILDREN: 38
380500487,data/ccld-reports/380500487/report-5.html,2025-06-26,18,18,table,TOTAL ENROLLED CHILDREN: 18
380500491,data/ccld-reports/380500491/report-0.html,2022-10-21,80,80,table,TOTAL ENROLLED CHILDREN: 80
380500491,data/ccld-reports/380500491/report-1.html,2023-03-17,80,80,table,TOTAL ENROLLED CHILDREN: 80
380500491,data/ccld-reports/380500491/report-2.html,2024-03-19,79,79,table,TOTAL ENROLLED CHILDREN: 79
380500491,data/ccld-reports/380500491/report-3.html,2025-03-26,80,80,table,TOTAL ENROLLED CHILDREN: 80
380500491,data/ccld-reports/380500491/report-4.html,2025-11-14,80,80,table,TOTAL ENROLLED CHILDREN: 80
380500512,data/ccld-reports/380500512/report-0.html,2022-11-03,125,125,table,TOTAL ENROLLED CHILDREN: 125
380500512,data/ccld-reports/380500512/report-1.html,2023-11-01,125,125,table,TOTAL ENROLLED CHILDREN: 125
380500512,data/ccld-reports/380500512/report-2.html,2023-11-15,84,84,table,TOTAL ENROLLED CHILDREN: 84
380500512,data/ccld-reports/380500512/report-3.html,2024-09-10,84,84,table,TOTAL ENROLLED CHILDREN: 84
380500512,data/ccld-reports/380500512/report-4.html,2025-09-15,125,125,table,TOTAL ENROLLED CHILDREN: 125
380500512,data/ccld-reports/380500512/report-5.html,2025-10-15,125,125,table,TOTAL ENROLLED CHILDREN: 125
380500581,data/ccld-reports/380500581/report-0.html,2023-03-24,42,42,table,TOTAL ENROLLED CHILDREN: 42
380500581,data/ccld-reports/380500581/report-1.html,2023-10-26,90,90,table,TOTAL ENROLLED CHILDREN: 90
380500581,data/ccld-reports/380500581/report-2.html,2024-10-01,44,44,table,TOTAL ENROLLED CHILDREN: 44
380500581,data/ccld-reports/380500581/report-3.html,2025-09-11,42,42,table,TOTAL ENROLLED CHILDREN: 42
380500619,data/ccld-reports/380500619/report-0.html,2023-03-17,42,42,table,TOTAL ENROLLED CHILDREN: 42
380500619,data/ccld-reports/380500619/report-1.html,2023-05-16,48,48,table,TOTAL ENROLLED CHILDREN: 48
380500619,data/ccld-reports/380500619/report-2.html,2024-05-10,45,45,table,TOTAL ENROLLED CHILDREN: 45
380500619,data/ccld-reports/380500619/report-3.html,2025-05-01,45,45,table,TOTAL ENROLLED CHILDREN: 45
