tax_prd,tax_prd_yr,formtype,pdf_url,updated,totrevenue,totfuncexpns,totassetsend,totliabend,pct_compnsatncurrofcr,subseccd,unrelbusinccd,initiationfees,grsrcptspublicuse,grsincmembers,grsincother,totcntrbgfts,totprgmrevnue,invstmntinc,txexmptbndsproceeds,royaltsinc,grsrntsreal,grsrntsprsnl,rntlexpnsreal,rntlexpnsprsnl,rntlincreal,rntlincprsnl,netrntlinc,grsalesecur,grsalesothr,cstbasisecur,cstbasisothr,gnlsecur,gnlsothr,netgnls,grsincfndrsng,lessdirfndrsng,netincfndrsng,grsincgaming,lessdirgaming,netincgaming,grsalesinvent,lesscstofgoods,netincsales,miscrevtot11e,compnsatncurrofcr,othrsalwages,payrolltx,profndraising,txexmptbndsend,secrdmrtgsend,unsecurednotesend,retainedearnend,totnetassetend,nonpfrea,gftgrntsrcvd170,txrevnuelevied170,srvcsval170,grsinc170,grsrcptsrelated170,totgftgrntrcvd509,grsrcptsadmissn509,txrevnuelevied509,srvcsval509,subtotsuppinc509,totsupp509,ein,totcntrbs,prgmservrev,duesassesmnts,othrinvstinc,grsamtsalesastothr,basisalesexpnsothr,gnsaleofastothr,grsrevnuefndrsng,direxpns,grsalesminusret,costgoodsold,grsprft,othrevnue,totrevnue,totexpns,totexcessyr,othrchgsnetassetfnd,totnetassetsend,unrelbusincd,initiationfee,grspublicrcpts,gftgrntrcvd170,grsrcptsrelatd170,grsrcptsadmiss509,tax_period,asset_amount,income_amount,revenue_amount,org_name,org_subname
202307.0,2023.0,0.0,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F237038038_202307_990_2024041522362463.pdf,2025-08-05T16:08:22.061Z,361110.0,317852.0,288053.0,0.0,0.0,3.0,N,0.0,0.0,0.0,0.0,287123.0,3490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42321.0,7058.0,35263.0,0.0,0.0,0.0,8279.0,8610.0,-331.0,35565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288053.0,9,0.0,0.0,0.0,0.0,0.0,865816.0,260898.0,0.0,0.0,166.0,1126880.0,237038038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pta California Congress Of Parents Teachers & Students Inc,Dolores Huerta Elementary Pta
202207.0,2022.0,0.0,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_05_2023_prefixes_22-23%2F237038038_202207_990_2023051921277098.pdf,2023-08-07T19:36:24.945Z,203499.0,246404.0,244386.0,0.0,0.0,3.0,N,0.0,0.0,0.0,0.0,167844.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32316.0,5001.0,27315.0,0.0,0.0,0.0,0.0,0.0,0.0,8338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244386.0,09,0.0,0.0,0.0,0.0,0.0,679822.0,220618.0,0.0,0.0,196.0,900636.0,237038038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pta California Congress Of Parents Teachers & Students Inc,Dolores Huerta Elementary Pta
202107.0,2021.0,1.0,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F237038038_202107_990EZ_2022042820000750.pdf,2023-08-07T19:50:03.145Z,186853.0,170946.0,288607.0,0.0,-0.001,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,09,,0.0,0.0,0.0,,532197.0,,0.0,0.0,221.0,844499.0,237038038,171849.0,15000.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186853.0,170946.0,15907.0,492.0,288607.0,,0.0,0.0,0.0,0.0,303822.0,,,,,Pta California Congress Of Parents Teachers & Students Inc,Dolores Huerta Elementary Pta
202007.0,2020.0,1.0,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F237038038_202007_990EZ_2021072118574706.pdf,2022-07-01T20:41:30.020Z,147239.0,128840.0,272208.0,0.0,-0.001,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7077.0,0.0,,,,,,,,,,,,,,,,09,,0.0,0.0,0.0,,437021.0,,0.0,0.0,249.0,796106.0,237038038,133486.0,0.0,0.0,32.0,0.0,0.0,0.0,37552.0,30475.0,0.0,0.0,0.0,6644.0,147239.0,128840.0,18399.0,0.0,272208.0,0.0,0.0,0.0,0.0,0.0,345219.0,,,,,Pta California Congress Of Parents Teachers & Students Inc,Dolores Huerta Elementary Pta
201907.0,2019.0,1.0,https://projects.propublica.org/nonprofits/download-filing?path=06_2020_prefixes_20-23%2F237038038_201907_990EZ_2020061817194325.pdf,2022-04-05T21:21:47.104Z,164415.0,121875.0,253809.0,0.0,-0.001,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,51008.0,0.0,,,,,,,,,,,,,,,,09,,0.0,0.0,0.0,,418733.0,,0.0,0.0,504.0,806124.0,237038038,105514.0,0.0,0.0,128.0,0.0,0.0,0.0,63628.0,12620.0,0.0,0.0,0.0,7765.0,164415.0,121875.0,42540.0,0.0,253809.0,0.0,0.0,0.0,,,,,,,,Pta California Congress Of Parents Teachers & Students Inc,Dolores Huerta Elementary Pta
201807.0,2018.0,1.0,https://projects.propublica.org/nonprofits/download-filing?path=04_2019_prefixes_23-26%2F237038038_201807_990EZ_2019042616245753.pdf,2022-04-05T21:18:39.552Z,139638.0,45461.0,211269.0,0.0,-0.001,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,32713.0,0.0,,,,,,,,,,,,,,,,9,,0.0,0.0,0.0,,345792.0,,0.0,0.0,689.0,747217.0,237038038,101129.0,0.0,0.0,30.0,0.0,0.0,0.0,43608.0,10895.0,0.0,0.0,0.0,5766.0,139638.0,45461.0,94177.0,0.0,211269.0,0.0,0.0,0.0,,,,,,,,Pta California Congress Of Parents Teachers & Students Inc,Dolores Huerta Elementary Pta
201707.0,2017.0,1.0,https://projects.propublica.org/nonprofits/download-filing?path=10_2018_prefixes_23-23%2F237038038_201707_990EZ_2018103115856801.pdf,2021-09-13T18:00:27.570Z,138817.0,144737.0,117092.0,0.0,-0.001,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,102339.0,0.0,,,,,,,,,,,,,,,,9,,0.0,0.0,0.0,,312041.0,,0.0,0.0,1002.0,695580.0,237038038,20219.0,0.0,0.0,27.0,0.0,0.0,0.0,115887.0,13548.0,0.0,0.0,0.0,16232.0,138817.0,144737.0,-5920.0,-199.0,117092.0,0.0,0.0,0.0,0.0,0.0,368920.0,,,,,Pta California Congress Of Parents Teachers & Students Inc,Dolores Huerta Elementary Pta
201607.0,2016.0,1.0,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F237038038_201607_990EZ_2017071814571442.pdf,2021-09-13T18:29:29.097Z,121854.0,199799.0,123211.0,0.0,-0.001,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,33248.0,0.0,,,,,,,,,,,,,,,,9,,0.0,0.0,0.0,,329390.0,,0.0,0.0,975.0,580784.0,237038038,76673.0,0.0,0.0,32.0,0.0,0.0,0.0,49854.0,16606.0,0.0,0.0,0.0,11901.0,121854.0,199799.0,-77945.0,-16484.0,123211.0,0.0,0.0,0.0,0.0,0.0,245061.0,,,,,Pta California Congress Of Parents Teachers & Students Inc,Dolores Huerta Elementary Pta
201507.0,2015.0,1.0,https://projects.propublica.org/nonprofits/download-filing?path=2016_03_EO%2F23-7038038_990EZ_201507.pdf,2017-06-30T00:41:23.959Z,167656.0,93946.0,217640.0,0.0,-0.001,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,50687.0,0.0,,,,,,,,,,,,,,,,9,,0.0,0.0,0.0,,287118.0,,0.0,0.0,943.0,476725.0,237038038,115198.0,0.0,0.0,287.0,0.0,0.0,0.0,70763.0,20076.0,0.0,0.0,0.0,1484.0,167656.0,93946.0,73710.0,0.0,217640.0,0.0,0.0,0.0,,,,,,,,Pta California Congress Of Parents Teachers & Students Inc,Dolores Huerta Elementary Pta
201407.0,2014.0,1.0,https://projects.propublica.org/nonprofits/download-filing?path=2015_05_EO%2F23-7038038_990EZ_201407.pdf,2017-06-30T00:25:43.458Z,104231.0,89078.0,143930.0,0.0,-0.001,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,70305.0,0.0,,,,,,,,,,,,,,,,9,,0.0,0.0,0.0,,206459.0,,0.0,0.0,656.0,323532.0,237038038,32573.0,0.0,0.0,313.0,0.0,0.0,0.0,84202.0,13897.0,0.0,0.0,0.0,1040.0,104231.0,89078.0,15153.0,-32132.0,143930.0,0.0,0.0,0.0,0.0,0.0,116417.0,,,,,Pta California Congress Of Parents Teachers & Students Inc,Dolores Huerta Elementary Pta
201307.0,2013.0,1.0,https://projects.propublica.org/nonprofits/download-filing?path=2014_10_EO%2F23-7038038_990EZ_201307.pdf,2017-06-30T00:11:36.642Z,98896.0,59165.0,160909.0,0.0,-0.001,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,7,,0.0,44.0,0.0,,0.0,,0.0,0.0,0.0,0.0,237038038,67334.0,31175.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,98896.0,59165.0,39731.0,0.0,160909.0,0.0,0.0,0.0,222865.0,0.0,0.0,,,,,Pta California Congress Of Parents Teachers & Students Inc,Dolores Huerta Elementary Pta
201207.0,2012.0,1.0,https://projects.propublica.org/nonprofits/download-filing?path=2013_05_EO%2F23-7038038_990EZ_201207.pdf,2017-06-29T23:54:55.898Z,81045.0,60067.0,161624.0,4731.0,-0.001,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,41509.0,10924.0,,,,,,,,,,,,,,,,7,,0.0,0.0,4305.0,,0.0,,0.0,0.0,0.0,0.0,237038038,37568.0,0.0,320.0,320.0,24626.0,22225.0,2401.0,46304.0,15719.0,2166.0,3249.0,-1083.0,0.0,81045.0,60067.0,20978.0,0.0,156893.0,0.0,0.0,0.0,,,,,,,,Pta California Congress Of Parents Teachers & Students Inc,Dolores Huerta Elementary Pta
201107.0,2011.0,1.0,https://projects.propublica.org/nonprofits/download-filing?path=2012_04_EO%2F23-7038038_990EZ_201107.pdf,2017-06-29T23:39:34.345Z,87333.0,68190.0,139250.0,3335.0,-0.001,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,50048.0,9720.0,,,,,,,,,,,,,,,,7,,0.0,0.0,7141.0,,0.0,,0.0,0.0,0.0,0.0,237038038,34401.0,0.0,7.0,463.0,31413.0,28475.0,2938.0,56650.0,16322.0,2945.0,3469.0,-524.0,0.0,87333.0,68190.0,19143.0,0.0,135915.0,0.0,0.0,0.0,155726.0,0.0,0.0,,,,,Pta California Congress Of Parents Teachers & Students Inc,Dolores Huerta Elementary Pta
