ein,strein,name,sub_name,city,state,ntee_code,raw_ntee_code,subseccd,has_subseccd,have_filings,have_extracts,have_pdfs,score
863070024,86-3070024,Pta California Congress Of Parents Teachers & Students,Pta California Congress Of Parents Teachers & Students Academy Of Sf Ptsa,San Francisco,CA,,,3,True,,,,120.15923
943220822,94-3220822,Pta California Congress Of Parents Teachers & Students Inc,Pta California Congress Of Parents Teachers & Students Inc Font Pta,San Francisco,CA,,,3,True,,,,118.543625
943351039,94-3351039,Pta California Congress Of Parents Teachers & Students Inc,Pta California Congress Of Parents Teachers & Students Inc Sherman Pta,San Francisco,CA,,,3,True,,,,118.543625
900809982,90-0809982,Pta California Congress Of Parents Teachers & Students Inc,Pta California Congress Of Parents Teachers & Students Inc Roosevelt Pta,San Francisco,CA,,,3,True,,,,118.543625
901111225,90-1111225,Pta California Congress Of Parents Teachers & Students Inc,Pta California Congress Of Parents Teachers & Students Inc Mlk Pta,San Francisco,CA,,,3,True,,,,118.543625
946171208,94-6171208,Pta California Congress Of Parents Teachers & Students Inc,Pta California Congress Of Parents Teachers & Students Inc Alvarado Elementary Pta,San Francisco,CA,,,3,True,,,,116.49041
237349936,23-7349936,Pta California Congress Of Parents Teachers & Students Inc,Pta California Congress Of Parents Teachers & Students Inc Rooftop Elementary Pta,San Francisco,CA,,,3,True,,,,116.49041
946174545,94-6174545,Pta California Congress Of Parents Teachers & Students Inc,Pta California Congress Of Parents Teachers & Students Inc Sunnyside Elementary Pta,San Francisco,CA,,,3,True,,,,116.49041
946172049,94-6172049,Pta California Congress Of Parents Teachers & Students Inc,Pta California Congress Of Parents Teachers & Students Inc Lafayette Elementary Pta,San Francisco,CA,,,3,True,,,,116.80865
943042896,94-3042896,Pta California Congress Of Parents Teachers & Students Inc,Pta California Congress Of Parents Teachers & Students Inc Lakeshore Elementary Pta,San Francisco,CA,,,3,True,,,,116.80865
946172144,94-6172144,Pta California Congress Of Parents Teachers & Students Inc,Pta California Congress Of Parents Teachers & Students Inc Longfellow Elementary Pta,San Francisco,CA,,,3,True,,,,116.49041
946172237,94-6172237,Pta California Congress Of Parents Teachers & Students Inc,Pta California Congress Of Parents Teachers & Students Inc Guadalupe Elementary Pta,San Francisco,CA,,,3,True,,,,116.80865
