,CDSCode,NCESDist,NCESSchool,StatusType,County,District,School,Street,StreetAbr,City,Zip,State,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Phone,Ext,FaxNumber,WebSite,OpenDate,ClosedDate,Charter,CharterNum,FundingType,DOC,DOCType,SOC,SOCType,EdOpsCode,EdOpsName,EILCode,EILName,GSoffered,GSserved,Virtual,Magnet,YearRoundYN,FederalDFCDistrictID,Latitude,Longitude,AdmFName,AdmLName,LastUpDate,Multilingual,school_modified,school_id,school_name
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.0,Access SFUSD: Bay Street
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.0,Access SFUSD: The Arc
2,38684786040695.0,0634410,05582,Active,San Francisco,San Francisco Unified,Alamo Elementary,250 23rd Avenue,250 23rd Ave.,San Francisco,94121-2009,CA,250 23rd Avenue,250 23rd Ave.,San Francisco,94121-2009,CA,(415) 750-8456,No Data,(415) 750-8434,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.783124,-122.48219,Rosa,Fong,02/09/2023,N,Alamo ES,413.0,Alamo ES
3,38684786040703.0,0634410,05583,Active,San Francisco,San Francisco Unified,Alvarado Elementary,625 Douglas Street,625 Douglas St.,San Francisco,94114-3140,CA,625 Douglas Street,625 Douglas St.,San Francisco,94114-3140,CA,(415) 695-5695,No Data,(415) 695-5447,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.753675,-122.43873,Michelle,Sundby,09/17/2024,Y,Alvarado ES,420.0,Alvarado ES
4,38684786062020.0,0634410,05585,Active,San Francisco,San Francisco Unified,Aptos Middle,105 Aptos Avenue,105 Aptos Ave.,San Francisco,94127-2520,CA,105 Aptos Avenue,105 Aptos Ave.,San Francisco,94127-2520,CA,(415) 469-4520,No Data,(415) 333-9038,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,37.730234,-122.46623,Dimitric,Roseboro,09/17/2024,Y,Aptos MS,431.0,Aptos MS
5,38684786040737.0,0634410,05586,Active,San Francisco,San Francisco Unified,Argonne Elementary,680 18th Avenue,680 18th Ave.,San Francisco,94121-3818,CA,680 18th Avenue,680 18th Ave.,San Francisco,94121-3818,CA,(415) 750-8460,No Data,(415) 750-8462,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.775150,-122.47679,Amy,Abdallah-Rojas,07/24/2025,N,Argonne ES,435.0,Argonne ES
6,38684783830387.0,0634410,01276,Active,San Francisco,San Francisco Unified,"Asawa (Ruth) SF Sch of the Arts, A Public School",555 Portola Drive,555 Portola Dr.,San Francisco,94131-1616,CA,555 Portola Drive,555 Portola Dr.,San Francisco,94131-1616,CA,(415) 695-5700,No Data,(415) 695-5326,No Data,09/01/1992,No Data,N,No Data,No Data,54.0,Unified School District,63,Alternative Schools of Choice,ALTSOC,Alternative School of Choice,HS,High School,9-12,9-12,N,N,N,No Data,37.745874,-122.44998,Stella,Kim,09/17/2024,Y,Asawa (Ruth) SOTA HS,815.0,Asawa (Ruth) SOTA HS
7,38684783830288.0,0634410,05587,Active,San Francisco,San Francisco Unified,Balboa High,1000 Cayuga Avenue,1000 Cayuga Ave.,San Francisco,94112-3236,CA,1000 Cayuga Avenue,1000 Cayuga Ave.,San Francisco,94112-3236,CA,(415) 469-4090,No Data,(415) 469-0859,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,N,No Data,37.722073,-122.43985,Catherine,Arenson,10/19/2021,Y,Balboa HS,439.0,Balboa HS
8,38684780132241.0,0634410,02774,Active,San Francisco,San Francisco Unified,Brown Jr. (Willie L) Middle,2055 Silver Avenue,2055 Silver Ave.,San Francisco,94122-2032,CA,2055 Silver Avenue,2055 Silver Ave.,San Francisco,94122-2032,CA,(415) 642-8901,No Data,(415) 641-1120,No Data,08/17/2015,No Data,N,No Data,No Data,54.0,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,37.735911,-122.39969,Malea,Mouton-Fuentes,12/02/2021,Y,Brown Jr. (Willie) MS,858.0,Brown Jr. (Willie) MS
9,38684786040778.0,0634410,05592,Active,San Francisco,San Francisco Unified,Bryant Elementary,2641 25th Street,2641 25th St.,San Francisco,94110-3514,CA,2641 25th Street,2641 25th St.,San Francisco,94110-3514,CA,(415) 695-5780,No Data,(415) 206-0538,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.751628,-122.40490,Dana,DeFranco,07/24/2025,Y,Bryant ES,456.0,Bryant ES
10,38684786062046.0,0634410,05626,Active,San Francisco,San Francisco Unified,Buena Vista/ Horace Mann K-8,3351 23rd Street,3351 23rd St.,San Francisco,94110-3031,CA,3351 23rd Street,3351 23rd St.,San Francisco,94110-3031,CA,(415) 695-5881,No Data,(415) 282-7869,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,N,N,No Data,37.753715,-122.41974,Claudia,Delarios-Moran,02/13/2019,Y,Buena Vista Horace Mann K-8,618.0,Buena Vista Horace Mann K-8
11,38684783830254.0,0634410,08189,Active,San Francisco,San Francisco Unified,Burton (Phillip and Sala) Academic High,400 Mansell Street,400 Mansell St.,San Francisco,94134-1829,CA,400 Mansell Street,400 Mansell St.,San Francisco,94134-1829,CA,(415) 469-4550,No Data,(415) 239-6806,No Data,07/01/1980,No Data,N,No Data,No Data,54.0,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,N,No Data,37.720698,-122.40507,Suniqua,Thomas,12/02/2021,Y,Burton (Phillip and Sala) HS,764.0,Burton (Phillip and Sala) HS
